MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff,HOT_plus_total_diff
60069.049097222225,-1417340.921828975,10268.528521102387,-6722426.926695036,7409.493621636949,-712.2763190599452,-1573.2209808883877,-78.22287253248062,-60.463736487070186,13221516.917590167,28941478.76923982,58018546.91846719,50753.73828331311,50860.39679385477,-29.897030480206013,-29.897030480206013
60069.04944444444,-1194317.1804225016,-11101.528424657648,-6765906.351651444,7457.390877390674,-712.2635642148477,-1325.1497613611493,-80.11778794989735,-59.63171158925632,13221546.778788665,28938009.986566592,58016075.74691259,51738.186327735064,51848.36302156789,-20.252139560878277,-20.252139560878277
60069.049791666665,-969979.5945772477,-32459.45458877855,-6801921.810835218,7497.075860294992,-711.4676791779741,-1075.6684672575707,-82.00853951440043,-58.35156977823548,13221623.350608323,28934697.682492517,58013587.80609795,52553.63781932099,52665.97485973627,-13.500718299299479,-13.500718299299479
60069.05013888889,-744575.152278834,-53781.77026451344,-6830435.077377044,7528.508711818524,-709.8898717942751,-825.0489878213917,-83.89144459794971,-56.209956882009145,13221747.386041667,28931546.44315431,58011084.9419377,53196.58760504069,53309.69178637054,-8.842466972768307,-8.842466972768307
60069.05048611111,-518351.90885945666,-75045.04701527185,-6851416.098024273,7551.658173148846,-707.5321397051454,-573.5643390168011,-85.75630452743563,-52.07378715237484,13221919.401389224,28928559.471896645,58008569.25925113,53664.293834944205,53776.52496027363,-4.3870697766542435,-4.3870697766542435
60069.050833333335,-291558.72341984353,-96225.92702088325,-6864843.025733287,7566.501812975434,-704.397301845073,-321.4884629393764,-87.56179734765382,-41.48799016916324,13222139.679754807,28925740.038205132,58006043.06238399,53954.78891014427,54063.52631554108,1.8483993224799633,1.8483993224799633
60069.05118055556,-64444.99604267287,-117301.15095611861,-6870702.237259731,7573.02616031721,-700.4890673626178,-69.09570901151253,-88.94167372377905,6.507330301062634,13222408.268966999,28923092.18767359,58003508.85139968,54066.88714096482,54227.90310208518,-48.8888399861753,-48.8888399861753
60069.05152777778,162739.60338382443,-138247.5822789364,-6868988.3427676475,7571.226491177415,-695.8119927507522,183.33958269705593,-88.1204622436324,81.32258762472794,13222724.980687791,28920619.156272985,58000969.316841096,54000.18895049692,54186.78251144096,-74.27140732109547,-74.27140732109547
60069.051875,389745.39025668614,-159042.23483616114,-6859704.17940244,7561.106727414288,-690.3713855827258,435.54316139387544,-86.36946501933414,97.55554734093133,13223089.383269748,28918322.719408993,57998427.39593444,53755.081776469844,53888.842258553326,-21.815197099000216,-21.815197099000216
60069.05222222222,616322.9298859958,-179662.29072886566,-6842860.809885463,7542.679531091294,-684.1732767689227,687.2410481510957,-84.51705939125432,102.97753718241026,13223500.8077704,28916203.919826068,57995886.226351,53332.737253139174,53444.87031352628,-0.21325258538126945,-0.21325258538126945
60069.052569444444,842223.2984606841,-200085.12391303224,-6818477.508100214,7515.966313997637,-677.224429330576,938.1597977848907,-82.63952922155508,105.59061751974666,13223958.349985488,28914263.183504574,57993349.14220525,52735.105079570436,52835.729461646915,12.579775039106607,12.579775039106607
60069.05291666667,1067198.3473871672,-220288.32312668627,-6786581.740686168,7480.99729935986,-669.5323269949893,1188.0267495168596,-80.75225099216432,107.09290126667373,13224460.877719386,28912500.843744222,57990819.63441171,51964.90339363241,52057.867154798696,23.274048693478107,23.274048693478107
60069.05326388889,1291000.9661626848,-240249.71259004192,-6747209.13662931,7437.811528123068,-661.1051934176602,1436.5704073613533,-78.86024559728031,108.04664222095394,13225007.035210341,28910917.469975285,57988301.34346217,51025.60589622559,51112.47638252051,33.74764037132263,33.74764037132263
60069.053611111114,1513385.3458614203,-259947.37504396518,-6700403.449853952,7386.456715036865,-651.9520822234924,1683.5207562526025,-76.96562534703526,108.69009658378788,13225595.250130126,28909513.228681035,57985798.038723126,49921.425656755906,50002.84735735409,44.313220743089914,44.313220743089914
60069.05395833333,1734107.2393118176,-279359.6761094455,-6646216.508807082,7326.989179841464,-642.0828739318015,1928.6094771998492,-75.0694294038411,109.14118824897731,13226223.736676332,28908287.687027745,57983313.63868164,48657.29583038841,48733.727519199645,54.5746707059443,54.5746707059443
60069.05430555555,1952924.2156993074,-298465.29219865333,-6584708.161030006,7259.473842403781,-631.5081648706129,2171.570284395676,-73.1722262262275,109.46487767294562,13226890.50170684,28907240.26545664,57980852.21317141,47238.847240804374,47310.84309107644,63.455159697681665,63.455159697681665
60069.05465277778,2169595.922177351,-317243.2249230761,-6515946.209746181,7183.984015815384,-620.2392879926551,2412.1392787827845,-71.27435135201351,109.69986956208089,13227593.353333488,28906369.507053647,57978417.97231091,45672.38289629935,45740.293747120144,70.52204614877701,70.52204614877701
60069.055,2383884.324427595,-335672.8290115881,-6440006.338401277,7100.601205242839,-608.2884255962764,2650.0549887098723,-69.37601441342672,109.87065167803568,13228329.901405552,28905671.863898266,57976015.33063041,43964.84989860958,44028.586967636395,77.23030051216483,77.23030051216483
60069.055347222224,2595553.9597571823,-353733.839969113,-6356972.035231387,7009.415256755062,-595.6685754688278,2885.0583621957753,-67.47735210973116,109.99347017618186,13229097.569524443,28905142.523353726,57973648.880692944,42123.80830538189,42182.97517643006,85.73269879445434,85.73269879445434
60069.05569444445,2804372.1890611895,-371406.39075627504,-6266934.523829087,6910.524570332777,-582.3934409358399,3116.893130747892,-65.57845656647895,110.07952673330414,13229893.620447978,28904777.372860752,57971323.25991564,40157.39722061959,40211.46923299655,96.76835790276527,96.76835790276527
60069.05604166666,3010109.4530950934,-388671.0372759225,-6169992.663718832,6804.036005452595,-568.4774060619237,3345.3063812751475,-63.679391340316535,110.13679513851635,13230715.16476515,28904573.654649213,57969043.164492175,38074.29868055659,38122.736423570816,109.12395539879799,109.12395539879799
60069.05638888889,3212539.5177128604,-405508.7767448919,-6066252.848907762,6690.064505317536,-553.9355341785301,3570.0489542340315,-61.78020102779642,110.17110602482519,13231559.172922011,28904528.598481357,57966813.34014662,35883.69927120803,35926.10284320619,120.98935806751251,120.98935806751251
60069.05673611111,3411439.718214041,-421901.06773276674,-5955828.888434378,6568.732782824626,-538.7835448526753,3790.8754729341863,-59.88091718895555,110.18682188858166,13232422.479968548,28904637.46582648,57964638.639150456,33595.24967788126,33631.52368245191,132.00017752870917,132.00017752870917
60069.05708333333,3606591.184896667,-437829.85172779206,-5838841.897874936,6440.171370337942,-523.0378201265344,4007.544339526565,-57.98156232619367,110.18727214987578,13233301.799822746,28904893.736937303,57962524.00085121,31219.02233968502,31249.42144092411,143.1930089853704,143.1930089853704
60069.05743055556,3797779.0857337406,-453277.5700532049,-5715420.180888554,6304.518734018654,-506.7154071495493,4219.818062847201,-56.08215242447047,110.17504231440896,13234193.746031484,28905290.727483205,57960474.381508306,28765.467124129136,28790.545160919017,155.45940018817782,155.45940018817782
60069.05777777778,3984792.857464456,-468227.18602867797,-5585699.096735907,6161.921146490192,-489.83398095319274,4427.463649403311,-54.18269870958845,110.1521711327431,13235094.843884043,28905821.95562357,57958494.76011854,26245.36562538951,26265.94865966695,169.20637130737305,169.20637130737305
60069.058125,4167426.442197946,-482662.20097589307,-5449820.92681067,6012.532516272736,-472.41182113947053,4630.252860956859,-52.28320885402952,110.12028833042505,13236001.553121978,28906480.872194223,57956590.05763828,23669.783950054287,23686.89599285785,184.63998720794916,184.63998720794916
60069.05847222222,4345478.509816575,-496566.6764985514,-5307934.723138703,5856.514260841558,-454.46781187341946,4827.962463110615,-50.38368785097316,110.08071264779925,13236910.277247444,28907260.912337337,57954765.171180554,21050.02455121501,21064.6774589004,201.9319203235209,201.9319203235209
60069.05881944444,4518752.686348043,-509925.24533463037,-5160196.156890998,5694.035165383835,-436.02142796568535,5020.37450342605,-48.48413862656034,110.03452313669452,13237817.384646356,28908155.652461655,57953024.91023954,18397.576953260275,18410.507796909013,221.10051698237658,221.10051698237658
60069.059166666666,4687057.769062745,-522723.13805274246,-5006767.354866342,5525.271213361749,-417.0927025112948,5207.276586704107,-46.584562511773306,109.98261155173506,13238719.222315326,28909158.87706448,57951373.99615445,15724.067869146227,15735.587865576197,241.88176039978862,241.88176039978862
60069.05951388889,4850207.938166963,-534946.1904043783,-4847816.72896677,5350.4053936747505,-397.7021977675068,5388.462135618586,-44.68495960061813,109.9257217924597,13239612.129374795,28910264.55088409,57949817.063798085,13041.21079360849,13051.292568199955,263.5708818025887,263.5708818025887
60069.05986111111,5008022.969552513,-546580.8626585612,-4683518.79967515,5169.62749093679,-377.87098703335636,5563.730627187906,-42.78532898559318,109.86447970665303,13240492.456854941,28911466.68489985,57948358.61045459,10360.755194653726,10369.19574075388,285.0803499892354,285.0803499892354
60069.060208333336,5160328.428556692,-557614.2577025201,-4514054.006489951,4983.133882349191,-357.6206347372416,5732.8877985317695,-40.885668976181435,109.79941597669021,13241356.573975077,28912759.15918041,57947003.05775176,7694.435752883628,7700.856761186272,305.39234616979957,305.39234616979957
60069.06055555555,5306955.870972348,-568034.1298153978,-4339608.52437672,4791.127354798839,-336.9731738282337,5895.7458456823915,-38.9859772777454,109.73098400827502,13242200.891504781,28914135.66333139,57945754.66857034,5053.921631767035,5057.683699272,323.67207568511367,323.67207568511367
60069.060902777775,5447743.029151671,-577828.9022317072,-4160374.061185587,4593.816943008952,-315.95108285413806,6052.123651648246,-37.08625110817677,109.65957387186424,13243021.870715793,28915589.943736453,57944617.58386775,2450.7661156729296,2450.9884621001556,339.0022052042186,339.0022052042186
60069.06125,5582533.99689925,-586987.6769409878,-3976547.652066444,4391.417670803298,-294.57725564247096,6201.847069895882,-35.18648728328526,109.58552343063889,13243816.037910625,28917115.998680722,57943595.810504705,-103.64325298435007,-107.91546181541763,350.0778218060732,350.0778218060732
60069.06159722222,5711179.405313702,-595500.2530018492,-3788331.4528633393,4184.15022051538,-272.8750145046246,6344.749039794036,-33.28668232712649,109.50912715154355,13244580.000595622,28918707.10967358,57942693.192622274,-2598.133719563055,-2607.6667013766373,356.1001860797405,356.1001860797405
60069.061944444446,5833536.589259527,-603357.1311550094,-3595932.5254883226,3972.2408288781353,-250.86813048788827,6480.669667048658,-31.38683257439582,109.4306433342322,13245310.458193488,28920355.677452754,57941913.42612951,-5021.795400048553,-5036.953963150828,357.0531759150326,357.0531759150326
60069.06229166667,5949469.750827899,-610549.535593763,-3399562.613288228,3755.9211532676713,-228.58073908625602,6609.456529901677,-29.48693420296328,109.35029982924293,13246004.214552239,28922054.242252346,57941260.054965965,-7364.028300376996,-7384.8387388881965,353.00198851525784,353.00198851525784
