MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
60069.808125,-114.56161933019757,-242.00677948128433,-211.62339975666254,2.6845117418054513e-12,5.670922294154253e-12,4.958951390605921e-12,6.037011541029071e-13,4.8325958453557915e-12
60069.80847222222,-98.83253027871251,-239.23172018068533,-211.8990024328025,2.315588347800715e-12,5.605059205835528e-12,4.9646696240628196e-12,6.030652986193759e-13,4.820439661480544e-12
60069.80881944444,-87.03253254294395,-236.3359796496108,-212.07074422666597,2.038815169510129e-12,5.536382388653456e-12,4.9679474755636454e-12,6.027095368552616e-13,4.807476575401086e-12
60069.809166666666,-78.93246319517493,-233.35896345035482,-212.16246977591265,1.848784847759713e-12,5.465818476349051e-12,4.969346495814954e-12,6.026120691196325e-13,4.794103074163351e-12
60069.80951388889,-73.95026025176048,-230.31659563444555,-212.2022902490778,1.731827902228228e-12,5.393743109328047e-12,4.9695274353187585e-12,6.027542547942663e-13,4.780296629702986e-12
60069.80986111111,-70.78067576140165,-227.1955652723089,-212.21913711629395,1.6573491526372846e-12,5.31984716925163e-12,4.96916995054895e-12,6.031188126870038e-13,4.765582639468191e-12
60069.810208333336,-67.83525613322854,-223.9539760126422,-212.2402083390496,1.588141406599359e-12,5.2431523480901895e-12,4.968912660203099e-12,6.03688862349053e-13,4.749386412624195e-12
60069.81055555555,-63.89384168386459,-220.5337225907172,-212.28937725857315,1.495641003489588e-12,5.162301553111503e-12,4.969316116632474e-12,6.044473362012063e-13,4.73117908628143e-12
60069.810902777775,-57.95403376221657,-216.87054751068354,-212.37605340586353,1.3563978307337978e-12,5.075794057761051e-12,4.970601689632946e-12,6.053767012016693e-13,4.710416551839168e-12
60069.81125,-49.03933862969279,-212.89890697194883,-212.47903216559854,1.1475818130685006e-12,4.982100503191505e-12,4.97227490796536e-12,6.064587420057639e-13,4.686596390655437e-12
60069.81159722222,-36.751482270658016,-208.56261357131103,-212.53852097830838,8.599046379080859e-13,4.8799108940264026e-12,4.972938467553681e-12,6.076744587563972e-13,4.659392990541833e-12
60069.811944444446,-21.394252710044384,-203.82129417657853,-212.4736445132022,5.005066716435412e-13,4.768286087903595e-12,4.970703023310001e-12,6.090039947501586e-13,4.628617779528226e-12
60069.81229166667,-3.4613521806895733,-198.65311495674152,-212.22107715120333,8.096494116198061e-14,4.646720970448172e-12,4.964090947098085e-12,6.104266148157317e-13,4.594128553453441e-12
60069.81263888889,15.524345356971025,-193.0755118948718,-211.7571563159426,-3.6308168712367096e-13,4.515628903448601e-12,4.9525531549179936e-12,6.119206590067756e-13,4.555923688351377e-12
60069.81298611111,32.681236524134874,-187.1557758283491,-211.09555155856327,-7.642421529572759e-13,4.376588779063436e-12,4.936414161798324e-12,6.134635662943144e-13,4.514253499551846e-12
60069.81333333333,45.67704356089234,-180.97691179023434,-210.27223634247977,-1.0680062781029654e-12,4.231545277793388e-12,4.916519350144466e-12,6.150318597371908e-13,4.469571789752714e-12
60069.813680555555,53.32207978889346,-174.6082602404058,-209.3265177121179,-1.2466034392055472e-12,4.082122426416033e-12,4.893791801256787e-12,6.166011371949817e-13,4.422450343782819e-12
60069.81402777778,54.81854026764631,-168.11587031601618,-208.28761128381723,-1.2814345765529891e-12,3.929865480518588e-12,4.868917444053858e-12,6.181461701560731e-13,4.373578880180266e-12
60069.814375,49.66666739806533,-161.57228649308283,-207.1766379593561,-1.1608717311607163e-12,3.7764704127526485e-12,4.842392593735877e-12,6.196410144093858e-13,4.323757245348714e-12
60069.814722222225,38.41956567764282,-155.0458110270401,-206.0122928260722,-8.978930541747802e-13,3.623532810551443e-12,4.814656374702155e-12,6.21059119099931e-13,4.273777151201128e-12
60069.81506944444,24.348720137029886,-148.5724329047526,-204.79918275970138,-5.689892993551179e-13,3.471891911616195e-12,4.785818016353349e-12,6.223734730454163e-13,4.22420915808361e-12
60069.815416666665,11.73299502953887,-142.14924975130708,-203.52100629369832,-2.741546259542126e-13,3.3214771076889455e-12,4.755497229292418e-12,6.235568454760117e-13,4.1753674990142034e-12
60069.81576388889,2.1986906677484512,-135.77137005844463,-202.15455250839392,-5.1370362682216545e-14,3.172171794819158e-12,4.723153116782814e-12,6.24582063129762e-13,4.127523929164727e-12
60069.81611111111,-5.141011741012335,-129.4658363688737,-200.68078412229403,1.2010528939980547e-13,3.0246053749353088e-12,4.6883424641317474e-12,6.254222245570629e-13,4.081047835932835e-12
60069.816458333335,-11.857335355132818,-123.30266094927987,-199.08509585002645,2.7699319736297344e-13,2.880410925117257e-12,4.650725951083228e-12,6.260507863538077e-13,4.036383820173771e-12
60069.81680555556,-19.73435476049781,-117.39256730520476,-197.3595075874486,4.609746094934426e-13,2.7421718889573853e-12,4.610118904016666e-12,6.264418225391611e-13,3.994011721925988e-12
60069.81715277778,-30.22735544666648,-111.86552730010202,-195.5069379147763,7.060412636677244e-13,2.6129205512264084e-12,4.5665908731151946e-12,6.265701001410008e-13,3.954412243498578e-12
60069.8175,-44.14450101926923,-106.85234438379605,-193.54449484515936,1.031065711432358e-12,2.495708093567614e-12,4.520542483518689e-12,6.264113836674722e-13,3.918031351393155e-12
60069.81784722222,-62.18696832284331,-102.4861762282749,-191.506904574049,1.4524225500143877e-12,2.393640298493475e-12,4.472785121840857e-12,6.259425695106906e-13,3.885303102191943e-12
60069.818194444444,-84.59460661932826,-98.89305531047285,-189.44155282022226,1.9757153297147996e-12,2.3096570004569668e-12,4.424426035528991e-12,6.251419604023326e-13,3.856661442743886e-12
60069.81854166667,-109.51835162192583,-96.14984934031963,-187.39031984032027,2.5577671755008897e-12,2.245549946012791e-12,4.376442870038843e-12,6.239893507978238e-13,3.832389998601516e-12
60069.81888888889,-134.31067369133234,-94.26527876723557,-185.37935238964855,3.136760989290686e-12,2.2015201097212436e-12,4.3294453435039746e-12,6.22466313259978e-13,3.812538435464937e-12
60069.819236111114,-158.11934274435043,-93.20305980903407,-183.4277482330799,3.692811273853199e-12,2.176718572482888e-12,4.283878524006992e-12,6.205564777871524e-13,3.7970529657523526e-12
60069.81958333333,-181.8900406882167,-92.91355237650374,-181.56030137563747,4.248021919368485e-12,2.1699858090545215e-12,4.240320893945575e-12,6.182457302278108e-13,3.785909629157347e-12
60069.81993055555,-206.68451792001724,-93.35300706923007,-179.81009260925154,4.827208392634145e-12,2.1803007972595635e-12,4.199544295134835e-12,6.155222831915389e-13,3.779149966285944e-12
60069.82027777778,-232.5511538311839,-94.47600974440574,-178.21241963783072,5.431521715499139e-12,2.2066048267941877e-12,4.162372928655509e-12,6.123767683659257e-13,3.776855426460106e-12
60069.820625,-259.2735906019807,-96.22634330286334,-176.800585238263,6.0559308533892664e-12,2.2475874999981044e-12,4.129584183856697e-12,6.08802279219329e-13,3.779125200757872e-12
60069.820972222224,-286.88119641691446,-98.54250008246551,-175.60643378932858,6.701145228084662e-12,2.3018155683911955e-12,4.10192173800814e-12,6.047943923365183e-13,3.786036010924952e-12
60069.82131944445,-313.99536233767867,-101.34017777728538,-174.6542651294834,7.334984749606006e-12,2.367323685880924e-12,4.07995316122119e-12,6.003511738369978e-13,3.797511171801525e-12
60069.82166666666,-337.04144382476807,-104.48254041423401,-173.94863325100806,7.873955982803053e-12,2.4409191785353453e-12,4.063784755797847e-12,5.95473050185423e-13,3.813193566634158e-12
60069.82201388889,-352.9369190521538,-107.79658673622956,-173.47514952232854,8.24603164213368e-12,2.5185635652064043e-12,4.053080011937228e-12,5.901629446381284e-13,3.8324866188863004e-12
60069.82236111111,-360.80386923626065,-111.11380032996337,-173.21176146146738,8.430664479893378e-12,2.5963224054406643e-12,4.047324237248503e-12,5.844261330301836e-13,3.854716339656169e-12
60069.82270833333,-360.93348944187164,-114.30043687944611,-173.13368555721308,8.434608399165384e-12,2.67107224220853e-12,4.04593888097633e-12,5.782700889900642e-13,3.8792585843806496e-12
60069.82305555556,-354.81446961686015,-117.29273483622819,-173.21512624801446,8.292596754902193e-12,2.741323806007178e-12,4.0483219170157625e-12,5.717041488466823e-13,3.905630477030816e-12
60069.82340277778,-345.3033989481628,-120.10826814956962,-173.43883632885084,8.07134431692573e-12,2.8074881118976557e-12,4.05407120289376e-12,5.647391416293056e-13,3.933542635919113e-12
60069.82375,-335.30023005604744,-122.81703841816633,-173.8042091726015,7.838608010650828e-12,2.8712017913859636e-12,4.063173669989597e-12,5.573868070821925e-13,3.9628706396960305e-12
60069.82409722222,-326.78849022835493,-125.50928253500412,-174.3238798301874,7.640752921122557e-12,2.934575255350041e-12,4.075925970046142e-12,5.496588104028992e-13,3.99357287907551e-12
60069.82444444444,-319.7799233533442,-128.27071350483845,-175.00939520034524,7.478061274840675e-12,2.999613750913371e-12,4.092598957611523e-12,5.415651104879004e-13,4.025545998339879e-12
60069.824791666666,-312.4116410538554,-131.16501794923096,-175.85803332562662,7.306972022228742e-12,3.067808591309641e-12,4.1131301159581606e-12,5.331092130366806e-13,4.058543200483384e-12
60069.82513888889,-303.1515880972147,-134.24403429863352,-176.85509195093894,7.09163367115516e-12,3.140374489737481e-12,4.137176166111081e-12,5.242998089598101e-13,4.092268738863992e-12
60069.82548611111,-292.1503574475646,-137.58489646296948,-177.98577713877376,6.835537996030431e-12,3.219119071662736e-12,4.164391763934275e-12,5.152134702423665e-13,4.126505375132226e-12
60069.825833333336,-280.5406024195254,-141.37146262824535,-179.24103032276034,6.565159882664175e-12,3.308349119506693e-12,4.1945658184716244e-12,5.059219698906411e-13,4.161140958309116e-12
60069.82618055555,-269.3888691291213,-145.4717316855366,-180.6147048164573,6.30544654352013e-12,3.404981915926151e-12,4.2275553918598315e-12,4.964877332029872e-13,4.196145702280572e-12
60069.826527777775,-259.2050919160247,-144.5204190241173,-182.0982046665003,6.0683337784626e-12,3.383414013817843e-12,4.263159640139785e-12,4.869676141165042e-13,4.231544984502987e-12
60069.826875,-250.18841037526727,-143.89415359428773,-183.67774916601678,5.858491348647549e-12,3.369471242447418e-12,4.301056562988341e-12,4.774141549541839e-13,4.2674011068198586e-12
60069.82722222222,-242.26582086458802,-143.80659132096918,-185.3371019511794,5.67421973483313e-12,3.368160624393712e-12,4.3408659039690415e-12,4.678760645628366e-13,4.3037724540726526e-12
60069.827569444446,-234.92965485528111,-144.16201329113295,-187.06373958192353,5.5036364437524706e-12,3.3772463107842164e-12,4.3822939896706384e-12,4.583984280905939e-13,4.340652806441152e-12
60069.82791666667,-227.25417936593294,-144.88989700693637,-188.84801428146247,5.3250528937313594e-12,3.3950810826975076e-12,4.425114062723695e-12,4.4902291654651586e-13,4.377870080908256e-12
60069.82826388889,-218.2228756956756,-145.90989568525305,-190.67483493780924,5.114632897950347e-12,3.419786079847206e-12,4.468971369180326e-12,4.397878367804679e-13,4.415008239321218e-12
60069.82861111111,-207.3312883041799,-147.1313788453738,-192.5219661972589,4.86052216711768e-12,3.4492397853011898e-12,4.513343316451057e-12,4.3072828235802544e-13,4.451516562397033e-12
60069.82895833333,-194.64389972761273,-148.46608351866405,-194.36873964017465,4.56419539684266e-12,3.481374016506175e-12,4.557743181251844e-12,4.2187617651667844e-13,4.486943093418201e-12
60069.829305555555,-180.7123794183135,-149.83074767099072,-196.20419368385853,4.238556067115834e-12,3.5142364160416854e-12,4.601912045036199e-12,4.1326040118543047e-13,4.521040525391098e-12
60069.82965277778,-166.13330194354057,-151.14909382766734,-198.02615641539708,3.897573601315432e-12,3.5460362917825632e-12,4.645796541604351e-12,4.0490686297914063e-13,4.553631997246348e-12
60069.83,-151.01885261014104,-152.35053365125012,-199.8346317567759,3.543864908405338e-12,3.5751146340469317e-12,4.689394249307028e-12,3.9683861183974605e-13,4.584435426100014e-12
60069.830347222225,-135.07624995335937,-153.36930014627674,-201.62774648809184,3.1705445647400618e-12,3.599923755246889e-12,4.7326584499446856e-12,3.8907599015112346e-13,4.612986271205242e-12
60069.83069444444,-118.06536111235619,-154.15737823545933,-203.40305026175662,2.7719570984374786e-12,3.619331147173967e-12,4.775528772408965e-12,3.816367787789381e-13,4.638681561846613e-12
60069.831041666665,-100.47912780568004,-154.70144276333352,-205.15885429655512,2.3596575961236122e-12,3.633017548219069e-12,4.817962292518203e-12,3.7453641915355836e-13,4.660965320924806e-12
60069.83138888889,-83.8097861893475,-155.03337517175822,-206.89432457890362,1.968687500989809e-12,3.64172588684754e-12,4.859936880211093e-12,3.6778814262685057e-13,4.67936578837058e-12
60069.83173611111,-68.92762304469943,-155.2162683264663,-208.60226160306485,1.6195107592400062e-12,3.646932905270506e-12,4.9012803886894156e-12,3.6140311502528364e-13,4.692143356509515e-12
60069.832083333335,-54.52693596109748,-155.30772828198968,-210.255947198636,1.2814728965109278e-12,3.649987678641015e-12,4.941361419198691e-12,3.553906041444548e-13,4.6850492080951656e-12
60069.83243055556,-38.647868659347296,-155.33933472180118,-211.81074042047064,9.085120694247674e-13,3.651628546327026e-12,4.97912616610108e-12,3.497581728801038e-13,4.676927338815738e-12
60069.83277777778,-21.06792663037777,-155.33389595380675,-213.22296027801931,4.953732191020795e-13,3.652388458736766e-12,5.0135424369238605e-12,3.4451190589652847e-13,4.668662319999491e-12
60069.833125,-3.2938999608159065,-155.3311050834755,-214.46201071476358,7.746851588956458e-14,3.653198435122535e-12,5.043885328153468e-12,3.39656579744847e-13,4.658839080207318e-12
60069.83347222222,13.585706073790789,-155.3634157381952,-215.50402268949483,-3.1959460501739415e-13,3.654819942173755e-12,5.069587302788667e-12,3.3519571360307475e-13,4.647242851065787e-12
60069.833819444444,29.83303153887391,-155.41088582128287,-216.32174802416316,-7.019644174361035e-13,3.6567826433130736e-12,5.090001317253763e-12,3.3113172773006676e-13,4.633958931922154e-12
60069.83416666667,46.34410110488534,-155.39976819554965,-216.88646691884432,-1.090713041092936e-12,3.6573490414692256e-12,5.104444627582132e-12,3.2746598205463516e-13,4.619052042191387e-12
60069.83451388889,63.04383771494031,-155.2377388967822,-217.17597341022145,-1.4840708736999967e-12,3.654342996019141e-12,5.1123876383111415e-12,3.2419887146610285e-13,4.602518375476519e-12
60069.834861111114,77.88019458949566,-154.85337799141806,-217.10699251561115,-1.8337175036053808e-12,3.646079098954681e-12,5.1118630921435235e-12,3.2132979066776776e-13,4.584463884204296e-12
60069.83520833333,87.17125483602285,-154.22830153411874,-215.25770763529258,-2.0529077435833095e-12,3.6321201879527685e-12,5.06937998887072e-12,3.1885694275159554e-13,4.5653294153583815e-12
60069.83555555555,88.59072167426348,-153.39211560084175,-212.90899452991368,-2.0867590127890472e-12,3.6131591849739506e-12,5.015082334160758e-12,3.167768998105219e-13,4.545818415888084e-12
60069.83590277778,83.1850423514843,-152.41151023060084,-210.49464333117422,-1.959811426384753e-12,3.5907635654062813e-12,4.9591825108430394e-12,3.150838983737833e-13,4.526580145632998e-12
60069.83625,73.0529560931027,-151.38951087954143,-208.00854533418186,-1.7214272596790743e-12,3.5673577743437758e-12,4.901534439319678e-12,3.1376853229743916e-13,4.50806682350495e-12
60069.836597222224,59.07392541691661,-150.44159030038864,-205.46826369079452,-1.3922756259974392e-12,3.545661776042113e-12,4.842550303433675e-12,3.1281547485429776e-13,4.490624217148694e-12
60069.83694444445,41.7844355404377,-149.65949951236448,-202.90231599288268,-9.8496084258989e-13,3.5278386517540026e-12,4.782901421041822e-12,3.122001783304201e-13,4.474556080823839e-12
60069.83729166666,22.731472700834274,-149.08301937809836,-200.3317954838276,-5.359243017257229e-13,3.514827838516483e-12,4.723084994145156e-12,3.118938377347134e-13,4.460054385238997e-12
60069.83763888889,5.6888524405658245,-148.6592992580806,-197.75781437508348,-1.3414308241636781e-13,3.5053847574138806e-12,4.663127242154146e-12,3.120227550544467e-13,4.44701931872563e-12
60069.83798611111,-5.011320773512125,-148.23903201352806,-195.16776564648995,1.1818429317798016e-13,3.4959895827279947e-12,4.6027315904367305e-12,3.176291232750663e-13,4.434994255076174e-12
60069.83833333333,-281.7858083322644,-152.19972046874463,-194.07619665091235,6.64640378780084e-12,3.5898926372931447e-12,4.577621478444449e-12,3.176348128890289e-13,4.441302993372309e-12
60069.83868055556,-417.1816895157099,-158.1162991552924,-193.7382375880041,9.841219138693111e-12,3.729926764505786e-12,4.570240016672499e-12,3.2203833532873077e-13,4.456552383702288e-12
60069.83902777778,-462.69239066168666,-164.4179288893317,-193.68876972190208,1.0916113505922702e-11,3.879045366615949e-12,4.5696204168889625e-12,3.219522415327515e-13,4.474740189758519e-12
60069.839375,-500.5075430832803,-170.93441541368762,-193.90974799611917,1.1809574666512006e-11,4.033231406401873e-12,4.575338931792404e-12,3.210671444691241e-13,4.49528651445233e-12
60069.83972222222,-534.6705898493528,-177.60708068298797,-194.39620605098705,1.2616931286035542e-11,4.191097051966159e-12,4.5872797579952375e-12,3.201832669569043e-13,4.5178880825328365e-12
60069.84006944444,-564.9087280258536,-184.386903771013,-195.13363627276073,1.3331693594554429e-11,4.351481189738737e-12,4.605101177797025e-12,3.1952854356062524e-13,4.5422192047480696e-12
60069.840416666666,-591.3240119926631,-191.2108032927538,-196.10210315104987,1.3956224317646473e-11,4.512891086087262e-12,4.628333849517778e-12,3.191877433257884e-13,4.567972314115662e-12
60069.84076388889,-613.4368013739586,-197.99000801698614,-197.27547725159675,1.4479161962120696e-11,4.673226951070912e-12,4.656361633150926e-12,3.19197194060301e-13,4.594828085924851e-12
60069.84111111111,-629.7998984381557,-204.61082042710234,-198.61769705565854,1.4866308846610472e-11,4.829800159337996e-12,4.688333602711563e-12,3.195733401744375e-13,4.622380582643817e-12
60069.841458333336,-639.0691145732999,-210.94074582662432,-200.0850059674846,1.508589782357416e-11,4.979477909042319e-12,4.723216765169594e-12,3.203232265003298e-13,4.6501261971225205e-12
60069.84180555555,-641.1311865635216,-216.8449123290678,-201.6353939331861,1.5135223713243318e-11,5.119071303909973e-12,4.760019259154151e-12,3.214490650861372e-13,4.677537347367814e-12
60069.842152777775,-636.6939085125923,-222.223221431983,-203.23440069699038,1.50309737285924e-11,5.2462122828072366e-12,4.797927067904823e-12,3.2295029444896486e-13,4.704116353502467e-12
60069.8425,-627.4013300687075,-227.06255286938202,-204.85748276838825,1.4811952814177124e-11,5.36058764586867e-12,4.836361070615162e-12,3.248246510666671e-13,4.729480694075602e-12
60069.84284722222,-615.7740481346846,-231.44317168742418,-206.49134999310806,1.4537670708987922e-11,5.46408967384673e-12,4.8750077395233e-12,3.270686894800488e-13,4.753455399700351e-12
60069.843194444446,-603.4481895826757,-235.48724369319777,-208.1282311058086,1.4246763923004422e-11,5.559601015782576e-12,4.9136840999184376e-12,3.2967802625817214e-13,4.776025993756303e-12
60069.84354166667,-590.0531297512352,-239.3059043650205,-209.75611717779603,1.3930493430444868e-11,5.6497443374786324e-12,4.952106962932001e-12,3.3264742517530673e-13,4.7971814102429625e-12
60069.84388888889,-574.0832048766315,-242.96038328601668,-211.35285736713558,1.3553323670798883e-11,5.735964204987283e-12,4.989753506655115e-12,3.359708381713365e-13,4.816801762971603e-12
60069.84423611111,-554.1824104636908,-246.4417001446088,-212.88580355174426,1.308325603759308e-11,5.8180479936811446e-12,5.025853260672367e-12,3.396414236109678e-13,4.834647880451969e-12
60069.84458333333,-529.775767955929,-249.68295910960686,-214.31684113983064,1.2506735333634306e-11,5.8944158562614025e-12,5.059506628659897e-12,3.4365150178838853e-13,4.850434089987983e-12
60069.844930555555,-500.95824295654893,-252.58578832174342,-215.608806821766,1.182602942242323e-11,5.962746409261083e-12,5.0898375843851115e-12,3.4799248577474286e-13,4.863899636700557e-12
60069.84527777778,-468.2652533426881,-255.0605438215658,-216.7287881873755,1.105380632221553e-11,6.02092474663982e-12,5.116070500576957e-12,3.526547957265176e-13,4.874824224990341e-12
60069.845625,-432.5993352904916,-257.06367205884305,-217.6501717907687,1.0211401315026741e-11,6.067924993792678e-12,5.137578976970984e-12,3.5762773455598006e-13,4.883027308047045e-12
60069.845972222225,-394.879365388304,-258.5924683470279,-218.35367230876452,9.320533386992503e-12,6.10368620422389e-12,5.153909956588834e-12,3.628993992859698e-13,4.888364871673753e-12
60069.84631944444,-356.0337392427027,-259.65719137694686,-218.82770151326227,8.40314261248922e-12,6.128454045226029e-12,5.164792492111701e-12,3.684565605174703e-13,4.8907363133291e-12
60069.846666666665,-317.9137165360153,-260.2800766122217,-219.0735865022573,7.502943412398191e-12,6.142756932524275e-12,5.170260473776533e-12,3.7428457613886883e-13,4.890139783710827e-12
60069.84701388889,-282.686449483037,-260.50170295145364,-219.10792853691513,6.6710934052901035e-12,6.147557464478201e-12,5.170709313383982e-12,3.8036727517952123e-13,4.886702339265759e-12
