MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
60069.13972222222,-2900071.973169661,4051428.398462176,4747254.786927633,4131.671434718845,-3401.6345483444206,5412.361127767642,43.54199517178935,-147.0538258667773,6875558.878962723,28967739.71116613,57919889.14880577,11441.960366528872,11492.600419925233,518.9143849872053
60069.140069444446,-2774551.778534741,3947173.002397767,4906981.381198129,4235.573936497917,-3548.086710881259,5235.10376166809,45.411517094344035,-147.66319186741856,6875258.85680326,28967658.63745202,57922420.18589513,14086.394702828627,14133.040441649986,490.58516672998667
60069.14041666667,-2645984.152790799,3838582.301034478,5061303.522733044,4334.814967089079,-3690.628560367123,5052.097616373416,47.278928043447486,-148.3057363383949,6874966.084808039,28967525.14743147,57924890.40304043,16726.01444685394,16767.364444216593,459.96833001822233
60069.14076388889,-2514510.5807426,3725775.954850671,5210051.775624865,4429.286148570451,-3829.103972944683,4863.545488740033,49.14391104543935,-148.98616000854022,6874681.205522472,28967343.871291164,57927294.34962539,19349.16512590953,19384.348213396082,428.2072860971093
60069.14111111111,-2380275.716336371,3608878.2446641084,5353062.877961033,4518.884360550968,-3963.3613566044546,4669.656162752767,51.00609049571633,-149.710029593592,6874404.8489477,28967118.89269627,57929626.67942168,21944.256937886676,21972.67127057343,397.1926201097667
60069.14145833333,-2243427.2276931596,3488017.924469063,5490179.9174803905,4603.511868579131,-4093.2538089970017,4470.64425664083,52.86501767643802,-150.4839877461119,6874137.629411788,28966854.16922651,57931882.17721777,24499.81649361758,24520.85532261881,369.22983391210437
60069.141805555555,-2104115.6340403333,3363328.087075256,5621252.508210928,4683.076505528883,-4218.639332167435,4266.730055876318,54.72015178685099,-151.3160259959655,6873880.156153592,28966554.370632518,57934055.66999829,27004.53792977397,27017.528587237022,345.84794380515814
60069.14215277778,-1962494.1322851945,3234946.003737149,5746136.953085091,4757.4918790301945,-4339.381108168114,4058.13915301567,56.570834966033566,-152.21584304784227,6873633.025730529,28966225.383101653,57936142.09114803,29447.333651978188,29451.53755180617,327.24765983968973
60069.1425,-1818718.4222849128,3103012.975380712,5864696.393551735,4826.677370569493,-4455.347619025935,3845.1019832044576,58.41625869574086,-153.19532075560798,6873396.819380953,28965873.05358528,57938136.502962135,31817.38399147897,31811.914625168676,313.61191695928574
60069.142847222225,-1672946.5398223964,2967674.163760055,5976800.958205993,4890.558097268131,-4566.4126571011,3627.8536180633128,60.25541828415384,-154.26916365554112,6873172.1014299905,28965502.465891544,57940034.11037766,34104.18584376878,34087.97551929529,305.74613209441304
