MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
60070.095625,-2958656.0617995746,169228.73849405348,-6196481.146210591,6827.185957896248,-706.8009551822485,-3289.7367513539302,-64.56907008552032,-81.11007493836844,6862311.853137808,28966201.793575477,58031655.85046599,39297.765587030684,39379.450153228,-238.82359036803246
60070.095972222225,-2752247.7912349147,147935.29922476178,-6291731.034635846,6932.0963105432065,-712.6310568900609,-3059.682531998304,-66.47193756351612,-81.03927031990466,6862601.341214221,28961729.739253268,58029214.67219829,41333.33058494127,41422.10155481329,-250.59893744811416
60070.09631944444,-2542806.9659193642,126478.7422046666,-6380028.976430065,7029.338619311168,-717.6744838994421,-2826.316268681506,-68.37429233155758,-80.9360798924698,6862893.128142423,28957360.87019676,58026754.00769375,43245.447874137055,43340.33221307897,-260.6250437386334
60070.096666666665,-2330565.1744385525,104882.74829202518,-6461279.462111757,7118.811152395789,-721.9260773828262,-2589.8952787489875,-70.27605432878535,-80.79112234853514,6863187.13356993,28953103.519783154,58024274.52188599,45025.73964335989,45125.83013634722,-268.25836116448045
60070.09701388889,-2115756.9307861296,83171.1391770686,-6535394.747642165,7200.420597389941,-725.3815091558639,-2350.6798656685164,-72.17710843582927,-80.59102442118962,6863483.258296379,28948965.472000953,58021777.04000371,46666.41784238009,46771.027689833136,-272.8900147303939
60070.09736111111,-1898619.4202478125,61367.854044659296,-6602294.938996404,7274.08219998945,-728.0373501889999,-2108.933039039404,-74.07728339406553,-80.3160462223523,6863781.385410753,28944954.39931278,58019262.53796888,48160.3177455865,48269.12125345289,-274.4129250049591
60070.097708333335,-1679392.2410747597,39496.91962189018,-6661908.069743893,7339.719858445169,-729.8910813235391,-1864.9202391039898,-75.97631366792733,-79.93578575775813,6864081.381876166,28941078.04463485,58016732.129014224,49500.92870194271,49613.81139399039,-273.15734227001667
60070.09805555556,-1458317.1431863068,17582.42720860173,-6714170.168635642,7397.266284545535,-730.9410886544617,-1618.909009309116,-77.8737655901388,-79.40087325911517,6864383.098578525,28937344.86998985,58014187.06326969,50682.42196438703,50798.99249300998,-270.22954082489014
60070.09840277778,-1235637.7633549564,-4351.500722189434,-6759025.3171990635,7446.66301246135,-731.1867030181542,-1371.1685320236452,-79.76888168028418,-78.62549870563205,6864686.368722562,28933763.579521194,58011628.741295606,51699.6754990851,51819.11892575273,-267.38747899606824
60070.09875,-1011599.360884565,-26280.734117414686,-6796425.692332003,7487.860256686849,-730.6281877253078,-1121.9693063184861,-81.66021382369807,-77.44638381958865,6864991.000733479,28930341.948345,58009058.77398517,52548.29574027854,52669.736255383825,-266.34094287082553
