MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360,dtm2000_rho,nrlmsise00_rho
60069.079305555555,-105.58103571459651,-169.1287326121082,-97.31593319003781,2.4807385226245374e-12,3.9738591256830905e-12,2.2865411642889105e-12,6.709904798446955e-13,1.745150471614216e-12,"(1.0559442465895154e-12, Timestamp('2023-05-05 01:54:12'))","(1.1565974065193746e-12, Timestamp('2023-05-05 01:54:12'))"
60069.07965277778,-83.68242988362908,-166.4784076925988,-97.10775191376193,1.9660412085838405e-12,3.91125604643922e-12,2.2814567191809257e-12,6.73133349818585e-13,1.7376375875892796e-12,"(1.0667044398848407e-12, Timestamp('2023-05-05 01:54:42'))","(1.1504213350740186e-12, Timestamp('2023-05-05 01:54:42'))"
60069.08,-62.99184738472104,-163.12925830384094,-96.79214333064026,1.4798050526666848e-12,3.832234022308498e-12,2.273841912975255e-12,6.755433771026626e-13,1.7309611638353522e-12,"(1.078353275755267e-12, Timestamp('2023-05-05 01:55:12'))","(1.1442905063876693e-12, Timestamp('2023-05-05 01:55:12'))"
60069.080347222225,-44.26629928871989,-159.11044208742678,-96.34214934669436,1.039809397944419e-12,3.737482817673824e-12,2.263064089804886e-12,6.782400335574205e-13,1.7253206890574033e-12,"(1.0905646095695348e-12, Timestamp('2023-05-05 01:55:42'))","(1.1383867760966548e-12, Timestamp('2023-05-05 01:55:42'))"
60069.08069444444,-26.894396867603064,-154.45659833072375,-96.30629084023336,6.316859096320545e-13,3.6278209656653948e-12,2.2620074817883023e-12,6.812438728190112e-13,1.7208061258440948e-12,"(1.1030043179581255e-12, Timestamp('2023-05-05 01:56:12'))","(1.1328924044580895e-12, Timestamp('2023-05-05 01:56:12'))"
60069.081041666665,-9.393381211906672,-149.1934043129906,-96.3766861266353,2.2060664469069753e-13,3.503856129436356e-12,2.26343814577178e-12,6.845778372416993e-13,1.7173350675970633e-12,"(1.1153415829714538e-12, Timestamp('2023-05-05 01:56:42'))","(1.1279858638132138e-12, Timestamp('2023-05-05 01:56:42'))"
60069.08138888889,8.354080703109503,-143.3630777006969,-96.08934633622152,-1.9617829074348491e-13,3.3665850903953713e-12,2.256459375103022e-12,6.882697411727955e-13,1.7147387741830052e-12,"(1.1272604028036348e-12, Timestamp('2023-05-05 01:57:12'))","(1.1238381246990017e-12, Timestamp('2023-05-05 01:57:12'))"
60069.08173611111,25.1490070335567,-137.05250772461295,-95.657967735144,-5.905098048626119e-13,3.2180534795829336e-12,2.246091377900626e-12,6.923569188050808e-13,1.7128593551074375e-12,"(1.1384702191269502e-12, Timestamp('2023-05-05 01:57:42'))","(1.1206090551025721e-12, Timestamp('2023-05-05 01:57:42'))"
60069.082083333335,39.85743008553982,-130.38420152328908,-95.15739644929353,-9.357674068172697e-13,3.061142825504277e-12,2.2340926126881336e-12,6.968963680415672e-13,1.7115888490636908e-12,"(1.148715198350234e-12, Timestamp('2023-05-05 01:58:12'))","(1.1184440884164343e-12, Timestamp('2023-05-05 01:58:12'))"
60069.08243055556,51.48873583972454,-123.49520844295621,-94.63226388972252,-1.2087084959758026e-12,2.899075015590875e-12,2.221511549885116e-12,7.019890982146554e-13,1.7109301109165224e-12,"(1.157781274821388e-12, Timestamp('2023-05-05 01:58:42'))","(1.1174703355252976e-12, Timestamp('2023-05-05 01:58:42'))"
