MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.92236111111,14399.128637369722,3618.996864274144,3618.996864274144,-4.962387934740225e-10,-1.2472189691068175e-10,-1.2472189691068175e-10,3.1218043370721305e-13,4.34533144902451e-13,-1.2472189691068175e-10
60068.92270833333,16510.68485141918,4297.506758334409,4297.506758334409,-5.689392744863212e-10,-1.480871568435684e-10,-1.480871568435684e-10,3.20637006679449e-13,4.5084678945822586e-13,-1.480871568435684e-10
60068.923055555555,18712.544748980552,5018.258657866716,5018.258657866716,-6.447287103943609e-10,-1.7290087886566084e-10,-1.7290087886566084e-10,3.294966685289999e-13,4.687478946511128e-13,-1.7290087886566084e-10
60068.92340277778,20995.755591262132,5779.09184517126,5779.09184517126,-7.232961674731293e-10,-1.9908761868171053e-10,-1.9908761868171053e-10,3.387623196086688e-13,4.88197120941164e-13,-1.9908761868171053e-10
60068.92375,23351.431579582393,6577.834560371766,6577.834560371766,-8.043331835835685e-10,-2.2657157420943282e-10,-2.2657157420943282e-10,3.484345112575029e-13,5.091406298398819e-13,-2.2657157420943282e-10
60068.924097222225,25771.51731813699,7412.342506361559,7412.342506361559,-8.875600717536065e-10,-2.552779165306887e-10,-2.552779165306887e-10,3.585113364062998e-13,5.315116207935196e-13,-2.552779165306887e-10
60068.92444444444,28248.66514928639,8280.522616483426,8280.522616483426,-9.727216961389342e-10,-2.8513361469846434e-10,-2.8513361469846434e-10,3.6898841046248e-13,5.552318904258779e-13,-2.8513361469846434e-10
60068.924791666665,30773.788521226496,9180.253252673148,9180.253252673148,-1.0595031896715589e-09,-3.160646794102377e-10,-3.160646794102377e-10,3.798588040119887e-13,5.802129460190072e-13,-3.160646794102377e-10
60068.92513888889,33336.33014992997,10109.333133336873,10109.333133336873,-1.1475395326507395e-09,-3.479944963067388e-10,-3.479944963067388e-10,3.9111293375265136e-13,6.063564828541081e-13,-3.479944963067388e-10
60068.92548611111,35926.29249495268,11065.516813396718,11065.516813396718,-1.2364852590465692e-09,-3.808449877041795e-10,-3.808449877041795e-10,4.027384389396161e-13,6.335541975321763e-13,-3.808449877041795e-10
60068.925833333335,38533.442541599274,12046.514160832523,12046.514160832523,-1.3259871661486954e-09,-4.1453662378719534e-10,-4.1453662378719534e-10,4.1472008327833544e-13,6.616870873679107e-13,-4.1453662378719534e-10
60068.92618055556,41146.42690932751,13049.959428022006,13049.959428022006,-1.4156539311021798e-09,-4.489873787999651e-10,-4.489873787999651e-10,4.270396547880289e-13,6.906244383890565e-13,-4.489873787999651e-10
60068.92652777778,43752.879705470055,14073.390103936941,14073.390103936941,-1.5050599165254694e-09,-4.841120282287061e-10,-4.841120282287061e-10,4.3967586861934357e-13,7.202228654687005e-13,-4.841120282287061e-10
60068.926875,46339.76018248126,15114.240751631918,15114.240751631918,-1.5937568670042353e-09,-5.198219605067195e-10,-5.198219605067195e-10,4.5260430776992067e-13,7.50325872915083e-13,-5.198219605067195e-10
60068.92722222222,48894.21062772721,16169.864810259896,16169.864810259896,-1.6813032431312475e-09,-5.560258729500125e-10,-5.560258729500125e-10,4.657972889873408e-13,7.807641487578847e-13,-5.560258729500125e-10
60068.927569444444,51403.89579672739,17237.562718940728,17237.562718940728,-1.7672761810908362e-09,-5.926308413220072e-10,-5.926308413220072e-10,4.792238104731245e-13,8.113571342936729e-13,-5.926308413220072e-10
60068.92791666667,53857.12944382429,18314.608799084363,18314.608799084363,-1.8512754646551503e-09,-6.2954313132985e-10,-6.2954313132985e-10,4.928495303341415e-13,8.419159320922075e-13,-6.2954313132985e-10
