MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
52275.168599537035,-525.7771497368813,-322.74875342392676,-188.55302015071115,1.7744450330994986e-11,1.0892446024684456e-11,6.3634749104211555e-12,7.8067113672428e-12,5.791946269083291e-12,5.870339248135264e-12
52275.16894675926,-510.8338647671044,-325.73016421825935,-190.21479145400227,1.7231391677360956e-11,1.0987494032594865e-11,6.416304400386168e-12,8.009998627564195e-12,5.994580204405328e-12,5.913200558784707e-12
52275.16929398148,-495.28484070673585,-328.22486813316743,-192.06226268456214,1.6698337097154222e-11,1.1065974649932554e-11,6.475305001002399e-12,8.21715985011828e-12,6.203967391107626e-12,5.955682611059006e-12
52275.169641203705,-478.18574083968997,-330.2494376323496,-194.07955659538922,1.611351812818994e-11,1.1128479679818401e-11,6.5399366531075356e-12,8.427839597267314e-12,6.4193107777473755e-12,5.997355737953515e-12
52275.16998842593,-458.6730233132839,-331.81064663641155,-196.2408552414841,1.544795240583557e-11,1.1175270435487934e-11,6.609325680312179e-12,8.641639109609887e-12,6.639627941370975e-12,6.037760664882924e-12
52275.170335648145,-434.9682824648917,-332.8985902159785,-198.50948240713527,1.4641921356390775e-11,1.120604690984369e-11,6.682234882580696e-12,8.858115519248049e-12,6.863771040050465e-12,6.076324431870686e-12
52275.17068287037,-405.6283112131059,-333.4918764523541,-200.84229802915618,1.3647107383353218e-11,1.1220122766603849e-11,6.757211793541016e-12,9.076782468296615e-12,7.090454029155925e-12,6.112343695792064e-12
52275.17103009259,-370.72357595711946,-333.57173650488255,-203.19841217545584,1.2466195948890902e-11,1.1216903644570631e-11,6.832884086594291e-12,9.29710953703869e-12,7.318283276076208e-12,6.145084226666463e-12
52275.171377314815,-331.1441206149757,-333.11932623690615,-205.54085201149186,1.1129409129903805e-11,1.119579373441173e-11,6.9080140414289816e-12,9.518523182174013e-12,7.545791456384188e-12,6.173878710495768e-12
52275.17172453704,-289.1266623996198,-332.130316257601,-207.84045883576488,9.712138493467808e-12,1.1156686839606133e-11,6.981629795071774e-12,9.740406877885448e-12,7.771470930088013e-12,6.1982778822058156e-12
52275.17207175926,-247.31571642309427,-330.62829509886603,-210.07702292007292,8.303303275281e-12,1.110041466551388e-11,7.05306261042227e-12,9.962102010581497e-12,7.99380519567585e-12,6.2181202168525354e-12
52275.172418981485,-205.6446766629815,-328.6266302381953,-212.22638119823404,6.900655404500129e-12,1.1027463335373989e-11,7.1215124464086155e-12,1.018290913303258e-11,8.21129667418555e-12,6.233301043458531e-12
52275.1727662037,-162.82981748878956,-326.1067854769528,-214.25528587347102,5.4611248998086035e-12,1.0937246713350526e-11,7.18587599399465e-12,1.0402090363059607e-11,8.422490293142771e-12,6.243641445205335e-12
52275.173113425924,-118.82105378061533,-323.0365537819142,-216.12516179163424,3.9830783939403256e-12,1.0828719969083423e-11,7.244873151087598e-12,1.0618873980630457e-11,8.625993571673246e-12,6.249010376987651e-12
52275.17346064815,-72.93720831722021,-319.3579544215153,-217.78307349845352,2.4437358224788652e-12,1.0699977301286068e-11,7.296746208369303e-12,1.0832457818753199e-11,8.82049090006948e-12,6.2492470271283924e-12
52275.17380787037,-24.10754393413663,-314.991665636003,-219.16328091687626,8.07310274675119e-13,1.0548399654470319e-11,7.339311254563942e-12,1.104201369432952e-11,9.004755059963718e-12,6.244087030298229e-12
52275.174155092594,26.630600418895483,-309.8887150266518,-220.2122522212772,-8.913616861214606e-13,1.037238827481253e-11,7.370797554578876e-12,1.1246693985433284e-11,9.177659457114624e-12,6.233370452222859e-12
52275.17450231482,76.37563651055098,-304.06459132830304,-220.90021077555915,-2.5551525637138386e-12,1.0172503373635182e-11,7.390232876293254e-12,1.1445637585735188e-11,9.33818990388628e-12,6.217231606787421e-12
52275.174849537034,122.14752697572112,-297.5961879819011,-221.2188582058375,-4.08450640911559e-12,9.951356095666602e-12,7.39736502678909e-12,1.1637975571654145e-11,9.485458460749377e-12,6.196076002421215e-12
52275.17519675926,163.04306703805923,-290.5820261432479,-221.17909343387518,-5.449471993084473e-12,9.712271990024132e-12,7.392582199415819e-12,1.1822836935349863e-11,9.618720504817777e-12,6.170406702429134e-12
52275.17554398148,200.12715223431587,-283.11167793857555,-220.80126366578043,-6.685900619446105e-12,9.458269514002407e-12,7.376586780134025e-12,1.1999354863384448e-11,9.73739551428553e-12,6.140707052166495e-12
52275.175891203704,234.50526332482696,-275.2626161299025,-220.10674173776061,-7.830927736884715e-12,9.191954265833722e-12,7.350112165977426e-12,1.2166676277704559e-11,9.841092821880692e-12,6.107373900776693e-12
52275.17623842593,266.81101179122925,-267.0900826097156,-219.1165210030973,-8.905868534948568e-12,8.915183622825543e-12,7.313877027743537e-12,1.2323970102147857e-11,9.929636149136735e-12,6.070607446791014e-12
52275.17658564815,295.31012162566185,-258.67018862683324,-217.8581587601246,-9.852994764673221e-12,8.630506805140768e-12,7.268817221327249e-12,1.2470436719879053e-11,1.0003085688804426e-11,6.0306264308014664e-12
52275.176932870374,316.32998820766807,-250.14960582833737,-216.37368997842486,-1.0550024650567903e-11,8.342821124142887e-12,7.216349534044537e-12,1.2605315876485164e-11,1.0061752675176797e-11,5.988018359888457e-12
52275.17728009259,328.3576122559607,-241.68534226231276,-214.71591739306848,-1.0946858387200807e-11,8.057359163476097e-12,7.1582465380689804e-12,1.2727893182230454e-11,1.010620234965129e-11,5.9435978984245096e-12
52275.17762731481,331.15812742337584,-233.38945198456446,-212.94434342520933,-1.1036045243108165e-11,7.777844896655435e-12,7.0964992663462144e-12,1.2837508171360827e-11,1.013724588891053e-11,5.898156815582636e-12
52275.17797453704,324.1889552846551,-225.34840253430107,-211.1185152657744,-1.0799869833513313e-11,7.507144752737384e-12,7.033097356179051e-12,1.2933561638101243e-11,1.0155917495396657e-11,5.8524429792973755e-12
52275.17832175926,309.8010269366205,-217.61968236975372,-209.27278018711755,-1.0316971056566081e-11,7.247154686827989e-12,6.9691867630874936e-12,1.3015521443518019e-11,1.0163435783021016e-11,5.80690758412238e-12
52275.17866898148,292.3082537762821,-210.2281220379596,-207.40724414125498,-9.7312004332294e-12,6.9986802145468176e-12,6.904770693156743e-12,1.3082930418970777e-11,1.0161153291972292e-11,5.761476347978131e-12
52275.17901620371,273.9751059897244,-203.19576740674674,-205.51188691991072,-9.117997236008189e-12,6.762433538953599e-12,6.8395148899873166e-12,1.3135413526687239e-11,1.015049522275967e-11,5.715710108902454e-12
52275.17936342592,254.77155935764313,-196.56383576889831,-203.5810622083023,-8.476361846928285e-12,6.5397652791317456e-12,6.773231489458319e-12,1.3172682953951779e-11,1.0132889028449388e-11,5.669281414888289e-12
52275.179710648146,232.51165993884206,-190.40483650807292,-201.6168063601065,-7.733583612372796e-12,6.3330661512746134e-12,6.705988121436935e-12,1.3194542275098946e-11,1.0109689460772586e-11,5.6224980051263e-12
52275.18005787037,207.04172902554274,-184.75536250968773,-199.62300332677034,-6.88460340239936e-12,6.143531564058763e-12,6.6379140783310946e-12,1.3200885813713412e-11,1.0082101335315294e-11,5.576058353555032e-12
52275.18040509259,184.92357228696346,-179.49929165858777,-197.5771631712301,-6.147602821818153e-12,5.967277931459723e-12,6.568259042462307e-12,1.3191699147500823e-11,1.0051108970234249e-11,5.530251451676498e-12
52275.180752314816,170.1014304049313,-174.4485745359833,-195.4430450965754,-5.6535523173022265e-12,5.798035563076528e-12,6.495815337213734e-12,1.3167065921347088e-11,1.0017420469959561e-11,5.48511985472856e-12
52275.18109953704,156.6093922406435,-169.545249461631,-193.22149362671706,-5.204016761742438e-12,5.633865935169313e-12,6.42061039364272e-12,1.3127169667741726e-11,9.981421592562579e-12,5.441195971276685e-12
52275.181446759256,138.50965474918485,-164.8746072411537,-190.94902865541064,-4.601676189463221e-12,5.477593282306427e-12,6.343858124228734e-12,1.3072287166191713e-11,9.943139408183005e-12,5.399403118444529e-12
52275.18179398148,115.62032113596797,-160.5571444461122,-188.6675698219281,-3.84054681967926e-12,5.333208076408595e-12,6.26694882125536e-12,1.3002779898891427e-11,9.902224231143952e-12,5.36059808284282e-12
52275.1821412037,89.50840766727924,-156.73028124962002,-186.41742147668782,-2.9727157594427516e-12,5.205260479937689e-12,6.1912173515406296e-12,1.2919090714159998e-11,9.857956196694388e-12,5.325418619389672e-12
