MJD,UTC,EDR,rho_eff,jb08_rho
60069.925833333335,2023-05-05 22:13:12,-238.4099042005837,6.308481488056708e-14,5.711671038917545e-13
60069.92618055556,2023-05-05 22:13:42,-256.3687557131052,6.783684406716427e-14,5.723014370228586e-13
60069.92652777778,2023-05-05 22:14:12,-270.82304710894823,7.16615438001475e-14,5.733473008732371e-13
60069.926875,2023-05-05 22:14:42,-281.23335057124496,7.441617796256459e-14,5.743243455308581e-13
60069.92722222222,2023-05-05 22:15:12,-287.66281243413687,7.61174554860896e-14,5.752526402455887e-13
60069.92756944445,2023-05-05 22:15:42,-290.85097855329514,7.696106502534087e-14,5.761524990318192e-13
60069.92791666667,2023-05-05 22:16:12,-291.8844819627702,7.723453676504812e-14,5.770444325289405e-13
60069.92826388889,2023-05-05 22:16:42,-291.74048164114356,7.719643334118651e-14,5.779489540939345e-13
60069.928611111114,2023-05-05 22:17:12,-291.28699777647853,7.70764385542684e-14,5.788865209029996e-13
60069.92895833333,2023-05-05 22:17:42,-290.86462756991386,7.696467664411813e-14,5.798774174480247e-13
60069.92930555555,2023-05-05 22:18:12,-290.96761989966035,7.699192908599114e-14,5.809416905785236e-13
60069.92965277778,2023-05-05 22:18:42,-292.94843181967735,7.751606483323073e-14,5.820991365381572e-13
60069.93,2023-05-05 22:19:12,-298.10288255289197,7.887996609985878e-14,5.833691512438672e-13
60069.930347222224,2023-05-05 22:19:42,-306.82909237220883,8.118897810549023e-14,5.847706992902491e-13
60069.93069444445,2023-05-05 22:20:12,-318.4536584019661,8.426491405921294e-14,5.863222354510469e-13
60069.93104166666,2023-05-05 22:20:42,-332.0202614367008,8.785472566487646e-14,5.880417312451575e-13
60069.93138888889,2023-05-05 22:21:12,-347.08503552526236,9.184096309817912e-14,5.899468160878053e-13
60069.93173611111,2023-05-05 22:21:42,-363.30710454285145,9.613342831427766e-14,5.920547653732927e-13
60069.93208333333,2023-05-05 22:22:12,-379.86984560638666,1.0051603757462451e-13,5.943826444549852e-13
60069.93243055556,2023-05-05 22:22:42,-395.6591037102043,1.0469397820138137e-13,5.969475162949368e-13
60069.93277777778,2023-05-05 22:23:12,-409.5564416386187,1.0837130441602174e-13,5.997668107726615e-13
60069.933125,2023-05-05 22:23:42,-420.57765408605337,1.1128758907851151e-13,6.028589114908719e-13
60069.93347222222,2023-05-05 22:24:12,-428.3184506446123,1.1333585431129301e-13,6.06244194918501e-13
60069.93381944444,2023-05-05 22:24:42,-433.2688767425716,1.14645769329366e-13,6.099469257800339e-13
60069.934166666666,2023-05-05 22:25:12,-436.369352735579,1.1546617548957298e-13,6.139988376249711e-13
60069.93451388889,2023-05-05 22:25:42,-437.6240205615759,1.1579816877569513e-13,6.1844667916791e-13
60069.93486111111,2023-05-05 22:26:12,-435.66005374863744,1.1527849035360423e-13,6.233697663359872e-13
60069.935208333336,2023-05-05 22:26:42,-429.22174367308617,1.1357487153532677e-13,6.289267274356501e-13
60069.93555555555,2023-05-05 22:27:12,-417.1937038078904,1.1039217377444198e-13,6.35506651697262e-13
60069.935902777775,2023-05-05 22:27:42,-392.26417360827327,1.0379565756436373e-13,6.443649600795701e-13
60069.93625,2023-05-05 22:28:12,-280.0674016289413,7.410766027143908e-14,6.588731349258042e-13
60069.93659722222,2023-05-05 22:28:42,-354.47323961928487,9.379593006624233e-14,6.332771092050846e-13
60069.936944444446,2023-05-05 22:29:12,-427.3815971426666,1.1308795676719293e-13,6.187040699106178e-13
60069.93729166667,2023-05-05 22:29:42,-424.0958726890385,1.1221853265664388e-13,6.133534960748617e-13
60069.93763888889,2023-05-05 22:30:12,-401.9631316997111,1.0636206510428687e-13,6.102155528871564e-13
60069.93798611111,2023-05-05 22:30:42,-372.0810726620257,9.845507747739471e-14,6.080208558987613e-13
60069.93833333333,2023-05-05 22:31:12,-338.32503171637654,8.952300898259975e-14,6.063964624473684e-13
60069.938680555555,2023-05-05 22:31:42,-301.887346111238,7.988135982886949e-14,6.051942544811233e-13
60069.93902777778,2023-05-05 22:32:12,-263.6254912316799,6.975702359310109e-14,6.04341828980098e-13
60069.939375,2023-05-05 22:32:42,-225.1428343579173,5.957426171022562e-14,6.037973547626513e-13
60069.939722222225,2023-05-05 22:33:12,-187.94517509266737,4.973151857165026e-14,6.035327800766743e-13
60069.94006944444,2023-05-05 22:33:42,-153.33270420506597,4.0572833131022475e-14,6.03526581416535e-13
60069.940416666665,2023-05-05 22:34:12,-122.3394631370902,3.237181949495704e-14,6.037603602522329e-13
60069.94076388889,2023-05-05 22:34:42,-95.2224503196776,2.5196481123690457e-14,6.042169984787684e-13
60069.94111111111,2023-05-05 22:35:12,-71.50219891965389,1.891994796745028e-14,6.048797284202837e-13
60069.941458333335,2023-05-05 22:35:42,-50.55093393102288,1.3376106667092684e-14,6.057315817414527e-13
