MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.938680555555,203.58806436136365,-85.06472684200853,-78.21145432155866,-6.969840774292386e-12,2.9121923402401162e-12,2.6775704413571583e-12,6.383285525735046e-13,1.0888180825431486e-12,2.6775704413571583e-12
60068.93902777778,183.77750774100423,-81.82197344352802,-74.24192459333801,-6.2911887114005405e-12,2.800981915577399e-12,2.541496854840883e-12,6.41410470557451e-13,1.1003142183970802e-12,2.541496854840883e-12
60068.939375,164.16911817714572,-78.71893483928095,-70.68355082064423,-5.619561995919513e-12,2.6945745917009516e-12,2.4195207986664704e-12,6.441983765393427e-13,1.1112042947615213e-12,2.4195207986664704e-12
60068.939722222225,143.70015022158623,-75.75999268293381,-67.53084933472907,-4.91857952282997e-12,2.5931187134141976e-12,2.3114509775037016e-12,6.467027407978333e-13,1.1214738442842137e-12,2.3114509775037016e-12
60068.94006944444,121.42911811545491,-72.97912360994766,-64.79229908182785,-4.156019862859347e-12,2.4977755912599937e-12,2.2175742204466157e-12,6.489358270093569e-13,1.1311108344786777e-12,2.2175742204466157e-12
60068.940416666665,97.07232042402029,-70.51868248761942,-62.47994737460145,-3.3221806864807466e-12,2.41341511126035e-12,2.1382992963756515e-12,6.509115110953751e-13,1.1401042149285229e-12,2.1382992963756515e-12
60068.94076388889,70.78616369888186,-69.1265811956798,-60.602959894693235,-2.4224232145515112e-12,2.3656294716482823e-12,2.073936617669225e-12,6.52645222120688e-13,1.1484429237036175e-12,2.073936617669225e-12
60068.94111111111,43.03504967316985,-65.06202501474569,-59.16354309513958,-1.4726461948252205e-12,2.2264025321974533e-12,2.0245582908146252e-12,6.541537850145456e-13,1.1561149497169605e-12,2.0245582908146252e-12
60068.941458333335,14.836592711508274,-59.35639623763661,-58.149842604637556,-5.076744713769003e-13,2.031040931615399e-12,1.989755409411534e-12,6.554552988959484e-13,1.1631066266574819e-12,1.989755409411534e-12
60068.94180555556,-12.26965780928731,-53.16981072835624,-57.52984010740309,4.198161198680158e-13,1.819247446102319e-12,1.9684293258965955e-12,6.565690621410256e-13,1.1694021565045055e-12,1.9684293258965955e-12
60068.94215277778,-36.927901823073626,-46.684064876660706,-57.25514759694536,1.2634474076545104e-12,1.597243759739898e-12,1.958921688885058e-12,6.575154110773096e-13,1.17498315699839e-12,1.958921688885058e-12
60068.9425,-58.51931074261665,-39.94694144253929,-57.2717813225463,2.002063725004677e-12,1.3666654882308994e-12,1.959383225762568e-12,6.58315607305106e-13,1.1798285043515407e-12,1.959383225762568e-12
60068.94284722222,-76.57339395955205,-32.994305310895044,-57.52245161653339,2.6195874904798066e-12,1.1287402187651148e-12,1.9678518462430484e-12,6.589916489717166e-13,1.183914346446549e-12,1.9678518462430484e-12
60068.943194444444,-90.5742146037519,-25.861132385892173,-57.946192167651574,3.0983893041770295e-12,8.846652033241624e-13,1.982240340868506e-12,6.595661610903667e-13,1.1872146394594723e-12,1.982240340868506e-12
60068.94354166667,-100.66065941005945,-18.5906460793068,-58.486881626416235,3.4432419601170386e-12,6.35919663363118e-13,2.0006275153841226e-12,6.600622335145154e-13,1.1897020800246424e-12,2.0006275153841226e-12
60068.94388888889,-108.11219843477011,-11.256283014143508,-59.107198086520654,3.6979301751722635e-12,3.8501620743005093e-13,2.0217357017849065e-12,6.60503310540991e-13,1.1913496646080215e-12,2.0217357017849065e-12
60068.944236111114,-114.31697814166546,-3.9516943539803226,-59.78880030942368,3.9099461153070924e-12,1.3515850610640742e-13,2.0449367303866774e-12,6.609130222878195e-13,1.1921326996932697e-12,2.0449367303866774e-12
60068.94458333333,-119.00703222677112,3.244633907886843,-60.51097386939133,4.07013107324274e-12,-1.1096894899977599e-13,2.0695213586091405e-12,6.613150115753723e-13,1.1920312905466446e-12,2.0695213586091405e-12
60068.94493055555,-121.50332970917225,10.2733412153398,-61.245821530111584,4.155269958626685e-12,-3.513361010681857e-13,2.0945345523010183e-12,6.617328459524033e-13,1.1910333204203139e-12,2.0945345523010183e-12
60068.94527777778,-123.45906906574965,17.06076180090507,-61.98645542934537,4.2219088169061575e-12,-5.834239737545483e-13,2.1197402887149718e-12,6.621899813755734e-13,1.1891376612737485e-12,2.1197402887149718e-12
