MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.93555555555,346.0331531316042,-136.27059982124982,-136.27059982124982,-1.1854153639732184e-11,4.668259709338296e-12,4.668259709338296e-12,6.010800046657837e-13,9.753222070958437e-13,4.668259709338296e-12
60068.935902777775,332.79979395866394,-128.04129466721625,-128.04129466721625,-1.1399832337327765e-11,4.3859681344692885e-12,4.3859681344692885e-12,6.06737936983541e-13,9.903214968374525e-13,4.3859681344692885e-12
60068.93625,317.1442876495421,-120.36568117899627,-120.36568117899627,-1.0862647439358596e-11,4.122697489322301e-12,4.122697489322301e-12,6.120874773205522e-13,1.0051486958883084e-12,4.122697489322301e-12
60068.93659722222,300.34846541658044,-113.23493293161361,-113.23493293161361,-1.0286518439412567e-11,3.8781394270522795e-12,3.8781394270522795e-12,6.171239341111887e-13,1.0197074100616826e-12,3.8781394270522795e-12
60068.936944444446,282.84369602426887,-106.63362244901558,-106.63362244901558,-9.686224890545469e-12,3.651759832208029e-12,3.651759832208029e-12,6.218442128430498e-13,1.0339144106932529e-12,3.651759832208029e-12
60068.93729166667,264.3111562244594,-102.22843651194125,-100.55256050354878,-9.050852298863987e-12,3.5006259017974488e-12,3.443238591931917e-12,6.262469729676568e-13,1.0477001662988094e-12,3.443238591931917e-12
60068.93763888889,244.33072014525533,-98.21600826786211,-94.98992694469709,-8.366020351332303e-12,3.3629709907418383e-12,3.2525081640100776e-12,6.303326819919147e-13,1.0610082809340184e-12,3.2525081640100776e-12
60068.93798611111,223.32934740558267,-94.53653482577452,-89.9372400502482,-7.646354665445805e-12,3.2367437711057903e-12,3.0792730245462763e-12,6.341036344195653e-13,1.0737941766574232e-12,3.0792730245462763e-12
60068.93833333333,202.51014244183898,-91.1031931762894,-85.36774969880935,-6.9330464538549264e-12,3.1189680811524584e-12,2.9226120093855904e-12,6.375640422819771e-13,1.0860234524689997e-12,2.9226120093855904e-12
60068.938680555555,182.49697063863277,-87.8443597006922,-81.24675400131024,-6.247446651325079e-12,3.007189373770948e-12,2.7813325308374597e-12,6.407200674806927e-13,1.0976699641526843e-12,2.7813325308374597e-12
60068.93902777778,162.89041717723012,-84.72815786208957,-77.54770595315054,-5.575872533748189e-12,2.900314312193595e-12,2.654521556101682e-12,6.435798162226884e-13,1.1087138676057564e-12,2.654521556101682e-12
60068.939375,142.68336971104145,-81.75346132647246,-74.26067497308797,-4.8838452432050846e-12,2.7983026615045384e-12,2.5418354287468796e-12,6.461533409096233e-13,1.1191398490997354e-12,2.5418354287468796e-12
60068.939722222225,120.87229510396719,-78.94433365153769,-71.3910724719548,-4.137017520817356e-12,2.7019764223451345e-12,2.4434558588664127e-12,6.484524474678371e-13,1.128935302001922e-12,2.4434558588664127e-12
60068.94006944444,96.98132240027189,-76.3996650426959,-68.95089283612543,-3.3191092864403655e-12,2.6147182926372882e-12,2.3597899374498194e-12,6.504906606795465e-13,1.1380890452632487e-12,2.3597899374498194e-12
60068.940416666665,71.09330464527011,-74.64018365970502,-66.95026144353407,-2.43296432595612e-12,2.5543460812938453e-12,2.2911805621964565e-12,6.522830443925534e-13,1.1465900752662644e-12,2.2911805621964565e-12
60068.94076388889,43.61216600611806,-71.60390885230154,-65.3930441555108,-1.4924128298673372e-12,2.450293164178894e-12,2.2377567321025715e-12,6.538460690042709e-13,1.1544266200375058e-12,2.2377567321025715e-12
60068.94111111111,15.381469838321209,-66.10821855403483,-64.27117590559646,-5.263250375667197e-13,2.2620991998589707e-12,2.199239047278356e-12,6.55197571825173e-13,1.1615855276598814e-12,2.199239047278356e-12
60068.941458333335,-12.114377662539482,-60.01956816067298,-63.556699217335414,4.145077647212234e-13,2.0536405361328716e-12,2.1746676601556683e-12,6.563565455813225e-13,1.168051527756147e-12,2.1746676601556683e-12
60068.94180555556,-37.41116524860263,-53.60981903169304,-63.203381190730916,1.2799958425349915e-12,1.8342210145989357e-12,2.162457774856708e-12,6.573430960356126e-13,1.1738069292687815e-12,2.162457774856708e-12
60068.94215277778,-59.73967955633998,-46.93959186077118,-63.157198502272365,2.0438370631973628e-12,1.6059155035460836e-12,2.1607585454977227e-12,6.581782675543274e-13,1.1788313016724115e-12,2.1607585454977227e-12
60068.9425,-78.67621459066868,-40.04506726867209,-63.361396082382846,2.6915540572941454e-12,1.3699624955570106e-12,2.1676261826860406e-12,6.588839139998296e-13,1.1831015055392482e-12,2.1676261826860406e-12
60068.94284722222,-93.65818679705262,-32.961653020232916,-63.75486089685908,3.203920600350717e-12,1.1275738164990832e-12,2.180968041187504e-12,6.594825079686675e-13,1.1865919905408822e-12,2.180968041187504e-12
60068.943194444444,-104.5674788095057,-25.72797621153295,-64.27809958804686,3.5769180133378327e-12,8.800715347207335e-13,2.1987475924370024e-12,6.599970340563662e-13,1.1892756951602364e-12,2.1987475924370024e-12
60068.94354166667,-112.43764175847173,-18.409086257467667,-64.88771404590034,3.845920670764462e-12,6.296813439005305e-13,2.2194791426153225e-12,6.604508740673283e-13,1.1911254650270731e-12,2.2194791426153225e-12
60068.94388888889,-118.79580369591713,-11.096322682189445,-65.56156516652554,4.063177087178322e-12,3.7952791825557405e-13,2.242404538682627e-12,6.608676282994494e-13,1.1921159169427718e-12,2.242404538682627e-12
60068.944236111114,-123.87194810435176,-3.874570868909359,-66.2814464373629,4.2365603597386515e-12,1.3251469445197868e-13,2.2669002373815687e-12,6.612709470942013e-13,1.192225827020337e-12,2.2669002373815687e-12
60068.94458333333,-126.78028843179345,3.1945165985574326,-67.01923719339254,4.3357832533676795e-12,-1.092498821540539e-13,2.292003669268487e-12,6.616844151148165e-13,1.1914409950199955e-12,2.292003669268487e-12
60068.94493055555,-128.56304112821817,10.042938063852489,-67.76072880706515,4.39649767801237e-12,-3.4344049028922857e-13,2.3172280637292723e-12,6.621315389689705e-13,1.1897574787179627e-12,2.3172280637292723e-12
60068.94527777778,-131.54612327367067,16.584166896653674,-68.5200787411914,4.4982448926157656e-12,-5.670987649401233e-13,2.343057222583202e-12,6.626356015992222e-13,1.1871845685400676e-12,2.343057222583202e-12
60068.945625,-136.7675629146397,22.740605135510364,-69.32299031970255,4.676509867844351e-12,-7.775722697006741e-13,2.3703694164741596e-12,6.632195467487508e-13,1.183747507815915e-12,2.3703694164741596e-12
