MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
60071.264027777775,-6816182.637086285,672460.6243592063,378325.97616047785,-439.87990887374934,-93.65325771237309,-7616.664079894161,3.033536381361852,-145.22745246821515,6853336.171769597,29107918.48643044,58107441.11669563,-27039.8233042096,-27096.003145824772,505.87947726249695
60071.264375,-6825584.077480809,669277.4263316751,149657.46446575434,-186.82821347642624,-118.53993261303623,-7626.485325524844,1.1220137822543181,-145.3191052148068,6853572.864365608,29106117.45871024,58105435.7671501,-27234.73963646206,-27291.398449030716,496.95295513793826
60071.26472222222,-6827390.488757017,665349.5693974853,-79178.02898934533,66.4075720735733,-143.2924745426423,-7627.795429873396,-0.7893801419298638,-145.41080487176706,6853812.833471385,29104102.909443364,58103403.20716278,-27247.716575431168,-27303.226886439475,490.77067210897803
60071.265069444446,-6821600.645055522,660681.4982120623,-307925.1493629992,319.54109510985256,-167.88294476305487,-7620.594627124855,-2.700636850415962,-145.502476487405,6854055.810690312,29101876.832785264,58101345.71559406,-27078.781940643927,-27131.700235664495,487.829110711813
60071.26541666667,-6808221.907294334,655278.4916206188,-536328.6975288286,572.2862600029222,-192.28360259031717,-7604.893191367505,-4.61174794115717,-145.5940448537767,6854301.552803412,29099442.499660544,58099265.35572688,-26728.77691971328,-26777.95898266014,488.0611152499914
60071.26576388889,-6787270.20824478,649146.655594267,-764133.9331101859,824.3576357070764,-216.46693251537118,-7580.711389308417,-6.522705200586984,-145.68543383192946,6854549.840193749,29096804.30620576,58097163.98867632,-26199.35146247124,-26244.146405883766,491.074942689389
60071.26611111111,-6758770.031483271,642292.9213176458,-991086.8755283746,1075.4708693787265,-240.40565785034994,-7548.079426003101,-8.433500640331362,-145.77656570766663,6854800.481260031,29093967.74622999,58095043.236092925,-25492.95595725316,-25533.120737561185,495.85666674375534
60071.26645833333,-6722754.366404355,634725.0324668013,-1216934.595104337,1325.3430850224288,-264.07279547453015,-7507.037316249997,-10.344126476804757,-145.8673604457659,6855053.30205696,29090939.00094823,58092904.567973465,-24612.829503535795,-24648.182368804984,500.9954602867365
60071.266805555555,-6679264.667552303,626451.5363273462,-1441425.507150758,1573.6931874844965,-287.44173659126045,-7457.634753671144,-12.254575140534772,-145.95773492744456,6855308.151342365,29087724.559716683,58090749.260009594,-23562.9844757359,-23593.181889522795,505.12824868410826
60071.26715277778,-6628350.787146597,617481.7725645634,-1664309.665124377,1820.2421768526833,-310.4862725235326,-7399.9309810180785,-14.164839320031643,-146.04760212847322,6855564.889981047,29084330.91582506,58088578.483390845,-22348.187778400177,-22372.647487377522,507.46111940965056
60071.2675,-6570070.915699153,607825.8614583965,-1885339.0377600414,2064.71335534098,-333.1805984896156,-7333.99463423657,-16.07491187268989,-146.13687020704901,6855823.395294732,29080763.922972053,58086393.26806263,-20973.93865409028,-20992.00372441913,508.5948812440038
60071.267847222225,-6504491.506706136,597494.692570732,-2104267.7952406136,2306.832529705523,-355.4993400499157,-7259.903817521136,-17.98478583848429,-146.22544150839616,6856083.561365339,29077029.770270735,58084194.5002602,-19446.44324661604,-19457.58782669067,509.5638824030757
60071.26819444444,-6431687.196671114,586499.9064913737,-2320852.5953771505,2546.328545836385,-377.417611171815,-7177.7461617155395,-19.89445446418334,-146.31321138835284,6856345.3051445605,29073136.539293025,58081982.87091146,-17772.58597430025,-17776.418560852162,509.9962455332279
60071.268541666665,-6351740.702653972,574853.8837511777,-2534852.862839843,2782.9338172240787,-398.9110427547604,-7087.618542499611,-21.80391122671168,-146.4000669627408,6856608.560835988,29069093.627532687,58079758.92331757,-15959.89801058532,-15956.194867149909,508.73671827837825
60071.26888888889,-6264742.714004301,562569.7301606387,-2746031.0634019044,3016.384583572788,-419.955774910749,-6989.626742970189,-23.713149844979924,-146.4858856422538,6856873.277818951,29064910.407470264,58077523.070849165,-14016.52287796191,-14005.336458454292,505.2459036074579
60071.26923611111,-6170791.772420482,549661.2578935339,-2954152.9672095375,3246.4210476266867,-440.5284873552424,-6883.885244547234,-25.622164252939776,-146.5705334065903,6857139.413796265,29060595.513370093,58075275.655053884,-11951.179412411577,-11932.826482905308,500.2142329476774
60071.269583333335,-6069994.152489755,536142.9696288998,-3158987.9090509135,3472.78752938106,-460.6064152001043,-6770.517177919906,-27.530948556512122,-146.6538628199557,6857406.937095317,29056157.17522831,58073016.92629868,-9773.122167430709,-9748.06768457423,495.06482119485736
60071.26993055556,-5962463.733824871,522030.042520443,-3360309.0476440545,3695.2328287185715,-480.1673522240625,-6649.6543134619305,-29.439497010920036,-146.73571070201942,6857675.830532009,29051604.41656209,58070747.01120528,-7492.0994818142435,-7460.9266303357745,490.7673397734761
60071.27027777778,-5848321.859325319,507338.314205009,-3557893.6199559453,3913.510678826612,-499.1897241156651,-6521.436850848285,-31.34780401118609,-146.81589539893096,6857946.09094371,29046947.4067773,58068465.91674426,-5118.309429542024,-5081.711615083752,487.4676482975483
60071.270625,-5727697.179718395,492084.2546620639,-3751523.193552694,4127.380025025288,-517.6526514139186,-6386.01310067879,-33.25586413279973,-146.89421339392817,6858217.7255407795,29042196.73026737,58066173.5612433,-2662.3537685024003,-2621.1655384709334,485.24258065596223
60071.27097222222,-5600725.501035521,476284.9512461829,-3940983.9029402314,4336.605218294729,-535.5359414645706,-6243.539270414952,-35.16367204372196,-146.97043536901646,6858490.754072678,29037363.09257754,58063869.75620488,-135.19029896218535,-90.61056985734051,484.5202634483576
60071.271319444444,-5467549.609509127,459958.0894322223,-4126066.684962172,4540.956289732487,-552.8200777703557,-6094.1792760939625,-37.07122251570617,-147.04430140704133,6858765.200757702,29032457.55641009,58061554.2747111,2451.9164057512257,2498.2342059258535,485.7301613353193
