MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
60070.787986111114,1.124212834984064,-239.3865211635828,-294.89673234710676,-2.645153135991005e-14,5.6325100324869e-12,6.938606214832147e-12,9.378091752325282e-13,6.753094172818025e-12
60070.78833333333,-6.825539041310549,-236.2974331241722,-294.11353392967334,1.6059903785560175e-13,5.559874491642196e-12,6.9202374030150016e-12,9.307052533917193e-13,6.7439612904505236e-12
60070.78868055555,-14.849796906113625,-233.06407617156705,-293.2177243129454,3.4940640725946086e-13,5.483851532193438e-12,6.899229143989304e-12,9.234609910666828e-13,6.736934020271192e-12
60070.78902777778,-23.192543040961027,-229.7127445784708,-292.19560001252427,5.457121770858453e-13,5.405058070901724e-12,6.875257134852434e-12,9.161184010670404e-13,6.730694590405503e-12
60070.789375,-32.83105677366257,-226.25192489052813,-291.05987017073977,7.725124525254312e-13,5.323691850394347e-12,6.8486182363068745e-12,9.087188736537235e-13,6.724267345712019e-12
60070.789722222224,-45.14957023411989,-222.70098967446634,-289.85422919585056,1.0623801050129244e-12,5.240207150810185e-12,6.820338817285546e-12,9.013031070313692e-13,6.7172764280400755e-12
60070.79006944445,-60.89058092236519,-219.10300840747854,-288.64377911082573,1.432789337695157e-12,5.155616017252699e-12,6.79194914611373e-12,8.939111539873533e-13,6.7098145603917e-12
60070.79041666666,-79.64895265176892,-215.50978432682652,-287.5073703446322,1.874210409534737e-12,5.071136125390771e-12,6.7653031003905e-12,8.865824551654962e-13,6.7022409723077635e-12
60070.79076388889,-100.88202143833041,-211.97321955735484,-286.54368634548865,2.373876403617384e-12,4.987987125274038e-12,6.742720713986854e-12,8.793559376032927e-13,6.69504882195854e-12
60070.79111111111,-124.71541113033891,-208.54958936963232,-285.85410884484236,2.9347453809431327e-12,4.907492494736503e-12,6.726586698088824e-12,8.722698997902275e-13,6.688789445278587e-12
60070.79145833333,-151.14705304428935,-205.29508824987957,-285.4749091675298,3.55677009613474e-12,4.830973651577272e-12,6.717753338044416e-12,8.653615509834986e-13,6.683999429002124e-12
60070.79180555556,-178.85157673060894,-202.24791469747822,-285.3358074013765,4.208762489516729e-12,4.759328670855644e-12,6.714565591533626e-12,8.586655265100706e-13,6.681075856848778e-12
60070.79215277778,-205.59682356193662,-199.41689195322493,-285.3159810563756,4.838193144384126e-12,4.6927643278099034e-12,6.714178748556074e-12,8.522102901234701e-13,6.680170026576403e-12
60070.7925,-229.1532609835267,-196.7778415972988,-285.31819857816316,5.3925914285566425e-12,4.630710893543659e-12,6.71430319367976e-12,8.460099008084731e-13,6.681103845666997e-12
60070.79284722222,-247.48600423708558,-194.26958455157776,-285.2871975236676,5.824065296834676e-12,4.5717282038035704e-12,6.713637289715606e-12,8.400450783344437e-13,6.683330710934537e-12
60070.79319444444,-259.06577410176396,-191.79791660166035,-285.19535963765037,6.0966196698063936e-12,4.513598737756254e-12,6.7115297083643934e-12,8.342221225009144e-13,6.686026716550564e-12
60070.793541666666,-261.5977039039135,-189.22412888202817,-285.019282435067,6.156243504166659e-12,4.4530582527186836e-12,6.707429307933134e-12,8.282885251876632e-13,6.688120100581097e-12
60070.79388888889,-251.8447250276804,-186.352879803814,-284.72276694745653,5.926752191746658e-12,4.385509121519871e-12,6.700482937891746e-12,8.216841495704843e-13,6.688376587611065e-12
60070.79423611111,-231.80123177915812,-183.02056109042218,-284.28151855495656,5.455076936441737e-12,4.307100674297435e-12,6.690117836833738e-12,8.133773530151702e-13,6.685862890218042e-12
60070.794583333336,-212.5135431215167,-179.24954052188744,-283.7308270237926,5.001176130406062e-12,4.2183594997129965e-12,6.677164281997668e-12,8.019959554384761e-13,6.680472776890119e-12
60070.79493055555,-208.41087622195482,-175.31223136434951,-283.17596925043813,4.9046215111537715e-12,4.125697068718415e-12,6.664100143931013e-12,7.867538611146681e-13,6.673067956491921e-12
60070.795277777775,-225.2533360645175,-171.58999180148047,-282.7380101775337,5.300966858954278e-12,4.03808829542643e-12,6.653774136727984e-12,7.685771796374481e-13,6.6649207486430626e-12
60070.795625,-255.11120707914233,-168.34169346652925,-282.48299081563533,6.003593979698845e-12,3.9616259473635396e-12,6.647740812507522e-12,7.495711371360491e-13,6.656862696347655e-12
