MJD,EDR,rho_eff,jb08_rho
60025.927569444444,-53.04696308076382,-1.1238886774043445e-13,7.968250082744468e-13
60025.92791666667,-2.241889663040638,-4.749679495595782e-15,7.80874097013833e-13
60025.92826388889,35.65829715132713,7.554257747371368e-14,7.649889229744188e-13
60025.928611111114,66.42916797101498,1.4072298712759274e-13,7.491125426444106e-13
60025.92895833333,92.30820370092988,1.955309787022162e-13,7.335503115332969e-13
60025.92930555555,114.05090277642012,2.415667642776834e-13,7.184727930013739e-13
60025.92965277778,132.4352517426014,2.8047847115831945e-13,7.039670789378281e-13
60025.93,147.89403374493122,3.1318325689287574e-13,6.900758736888963e-13
60025.930347222224,160.88961243256927,3.406610823450713e-13,6.768174671299195e-13
60025.93069444445,171.95289757847786,3.6403702965530103e-13,6.641959181340667e-13
60025.93104166666,180.9311300702393,3.8298879811656137e-13,6.522065689508994e-13
60025.93138888889,187.9179153367877,3.9771604621204345e-13,6.40839095940725e-13
60025.93173611111,194.21888794377446,4.1098339497483014e-13,6.300794094111449e-13
60025.93208333333,201.56764602661133,4.2645927838943543e-13,6.199108284182241e-13
60025.93243055556,211.21218890324235,4.4678237238756703e-13,6.103148922299304e-13
60025.93277777778,224.10602970421314,4.739664783794246e-13,6.012719157368844e-13
60025.933125,240.75884227082133,5.090851746263441e-13,5.927613182805519e-13
60025.93347222222,260.77963212132454,5.513069276506262e-13,5.847619055140731e-13
60025.93381944444,283.39287954196334,5.989880228385742e-13,5.772520271756798e-13
60025.934166666666,307.8459864370525,6.505345443546098e-13,5.702096583587628e-13
60025.93451388889,332.6720559746027,7.028448960209131e-13,5.636125604509849e-13
60025.93486111111,355.64531173557043,7.512173651605177e-13,5.574383009017155e-13
60025.935208333336,374.7634922042489,7.914265757985628e-13,5.516642962419428e-13
60025.93555555555,388.61525493860245,8.204987026798961e-13,5.46267817480935e-13
60025.935902777775,395.49338103458285,8.348381190550979e-13,5.412260299108032e-13
60025.93625,394.09358920902014,8.31702733735454e-13,5.365160018666322e-13
60025.93659722222,385.5417092293501,8.134801426864381e-13,5.321146673084625e-13
60025.936944444446,373.9926073253155,7.889454251773983e-13,5.279988604151525e-13
60025.93729166667,365.87733202800155,7.716666521972094e-13,5.24145468935369e-13
60025.93763888889,363.8593273125589,7.672560900390447e-13,5.205316048532769e-13
60025.93798611111,363.88168888911605,7.671536162008487e-13,5.171347175722159e-13
60025.93833333333,361.987077627331,7.630158746799467e-13,5.139324088643134e-13
60025.938680555555,357.33764285221696,7.530799253380943e-13,5.109023435371732e-13
60025.93902777778,349.9075590148568,7.372948297954121e-13,5.080223143281876e-13
60025.939375,339.43322364240885,7.151083730473994e-13,5.052702618713877e-13
60025.939722222225,325.6237074807286,6.859106991854994e-13,5.026243184519552e-13
60025.94006944444,308.8869499117136,6.505637334655479e-13,5.000627854132798e-13
60025.940416666665,289.8691767863929,6.104301890110967e-13,4.975641622610083e-13
60025.94076388889,268.423372451216,5.652013185075986e-13,4.951071375228355e-13
60025.94111111111,244.15512566640973,5.140471683261232e-13,4.926705101280682e-13
60025.941458333335,217.46589029952884,4.578130562210658e-13,4.90233132107653e-13
60025.94180555556,189.5048869214952,3.9891753890053913e-13,4.87773750933771e-13
60025.94215277778,161.00326788052917,3.388980231309661e-13,4.852708507163595e-13
60025.9425,132.0980048328638,2.7804064690743474e-13,4.827023394952522e-13
60025.94284722222,103.749720338732,2.1836488986388636e-13,4.800448507039388e-13
60025.943194444444,78.39716697111726,1.6500090090487457e-13,4.7727257144477e-13
60025.94354166667,59.203613474965096,1.246035742462153e-13,4.743542355327581e-13
60025.94388888889,48.597137965261936,1.0228114987987994e-13,4.712456904528657e-13
60025.944236111114,46.96956394985318,9.88576613607218e-14,4.679641549744429e-13
60025.94458333333,52.47204307094216,1.1044267225541319e-13,4.64567614107928e-13
60025.94493055555,62.061821911484,1.3063355535789197e-13,4.610991540962327e-13
60025.94527777778,72.85054863244295,1.5335234465191488e-13,4.575957180185571e-13
60025.945625,82.91600084677339,1.745537817222577e-13,4.5409063811409755e-13
60025.945972222224,91.55128229781985,1.927500397270304e-13,4.506147457195191e-13
60025.94631944445,99.56919015198946,2.0965237522097814e-13,4.4719693559662485e-13
60025.94666666666,108.67464164271951,2.288512239007242e-13,4.43864500080681e-13
60025.94701388889,119.68715319037437,2.5207396602196336e-13,4.406434292930791e-13
60025.94736111111,131.88571597263217,2.778040904720273e-13,4.375585633034277e-13
60025.94770833333,144.07646603882313,3.035282093923543e-13,4.3463366557473043e-13
60025.94805555556,155.60646861046553,3.278711725103788e-13,4.318914956256592e-13
