MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
52276.998460648145,-1207.8026732467115,-1329.1898139712712,-1233.593922924209,2.764692219595986e-11,3.0425505907966944e-11,2.823729071307333e-11,6.750305211593645e-12,2.7959661848720258e-11
52276.99880787037,-1194.2503901422024,-1327.425370109578,-1234.3511172877625,2.7343830843810782e-11,3.0393035729916954e-11,2.8261986289965957e-11,6.581953481823216e-12,2.7990086702095177e-11
52276.99915509259,-1174.6874509379268,-1325.3796572125207,-1234.3166241606905,2.6903081649585798e-11,3.035428454285298e-11,2.8268728753952522e-11,6.417213245870223e-12,2.801851396381694e-11
52276.999502314815,-1148.5433741249144,-1322.9072105564799,-1234.3472361459915,2.631147538835456e-11,3.030589988658797e-11,2.8277118353744046e-11,6.2547630223434e-12,2.804436695060016e-11
52276.99984953704,-1116.8110489174724,-1319.8800299915795,-1234.5304444067388,2.5591621605024623e-11,3.0244928472290834e-11,2.8289150634535657e-11,6.0913054811452524e-12,2.8067195650849115e-11
52277.00019675926,-1083.4620051570237,-1316.241630011176,-1234.7534434910242,2.4834428485090962e-11,3.0170055317144876e-11,2.8302234820549634e-11,5.916689435117195e-12,2.8086844176409908e-11
52277.000543981485,-1068.525860015303,-1312.2780795366193,-1235.0235186992006,2.4499084523976396e-11,3.008781798605101e-11,2.8316530938499826e-11,5.702435578687445e-12,2.8104488749644923e-11
52277.0008912037,-1156.503996141255,-1309.6855327608685,-1235.8415913787153,2.652394446392328e-11,3.0037100132864703e-11,2.83435196465434e-11,5.396671372951277e-12,2.8126658939915217e-11
52277.001238425924,-1307.3289053067565,-1309.4964520389215,-1237.5126282203942,2.999187475367812e-11,3.0041601176653965e-11,2.8390195918579664e-11,5.142157990005649e-12,2.815724504281482e-11
52277.00158564815,-1328.0886166542768,-1309.5521314928308,-1239.2917974532686,3.047720093094547e-11,3.005182255202217e-11,2.843947659020409e-11,5.068302212537653e-12,2.8187818026010487e-11
