MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho
60070.03555555556,133.6223543845117,-5.753464148690302,5.0678318445615975,-2.017776789045555e-11,8.68807204401322e-13,-7.652726606894444e-13,3.203070960974119e-13
60070.03590277778,112.45918883010744,0.699430051570138,6.100441046345693,-1.6983901845663975e-11,-1.0562988642680546e-13,-9.213057023105321e-13,3.1930804284357005e-13
60070.03625,94.587057556957,7.03508721155425,6.943170727399133,-1.4286262977498254e-11,-1.0625672113056087e-12,-1.048684307042345e-12,3.1836583617389443e-13
60070.03659722222,77.47833851724863,13.193983828648925,7.608596838624129,-1.1703276143979561e-11,-1.9929807368223685e-12,-1.1492955524698595e-12,3.1767238562231673e-13
60070.03694444445,60.62314688414335,19.097589769028126,8.104059923161692,-9.158022088422749e-12,-2.8849731155434606e-12,-1.2242379948380518e-12,3.1730107018469396e-13
60070.03729166667,44.37198390439153,24.663808401177327,8.439874034099004,-6.703536258373785e-12,-3.7261064153255695e-12,-1.2750613478449998e-12,3.1728368032673264e-13
60070.03763888889,30.147195532917976,29.831486445292832,8.63902377262028,-4.5548044306338166e-12,-4.507105361924881e-12,-1.3052313178821608e-12,3.1763452125817985e-13
60070.037986111114,18.53483660146594,34.59139183666557,8.728985707427968,-2.800497078095032e-12,-5.226541449961338e-12,-1.3188947652471831e-12,3.1835955028893747e-13
60070.03833333333,7.631309244781733,38.947374551184474,8.71909673028701,-1.1530943952828862e-12,-5.8849665064567345e-12,-1.317459592991615e-12,3.19460342363478e-13
60070.03868055555,-5.085817486047745,42.87198602054268,8.595838567641165,7.684966822096596e-13,-6.4782071135882386e-12,-1.2988813377916906e-12,3.209359360347724e-13
60070.03902777778,-20.492168731987476,46.330188229804236,8.338422573839141,3.096568325586673e-12,-7.000947301733742e-12,-1.2600176957943157e-12,3.2278374369012766e-13
60070.039375,-37.5931552387774,49.30176255169014,7.935513996535487,5.6807961771536415e-12,-7.450113257364518e-12,-1.1991554656409335e-12,3.2499999974613454e-13
60070.039722222224,-54.560880325734615,51.78451752848923,7.392067089385312,8.24490606176824e-12,-7.825359120442964e-12,-1.1170439038081973e-12,3.2758004920093114e-13
60070.04006944445,-70.49009278416634,53.777595045727985,6.720669159440901,1.065203640637158e-11,-8.12654484692174e-12,-1.0155868680828808e-12,3.3051846847980225e-13
60070.04041666666,-86.2139462903142,55.25596322280665,5.926356206878892,1.3028029405435382e-11,-8.349882410767877e-12,-8.955481827767441e-13,3.3380911975191344e-13
60070.04076388889,-102.86746417358518,56.187035734330614,5.004374678230892,1.5544345273022147e-11,-8.490446326627172e-12,-7.562131379337076e-13,3.374450977695952e-13
60070.04111111111,-120.84900732338428,56.54201939447473,3.946783232839168,1.8261119939831177e-11,-8.543889773457584e-12,-5.963862143983422e-13,3.414186408056708e-13
60070.04145833333,-140.2370525225997,56.297191698476674,2.745251268210511,2.1190142656670094e-11,-8.50663574142345e-12,-4.1481380958438605e-13,3.4572106609179207e-13
60070.04180555556,-161.16120535507798,55.4423530784746,1.390652453142011,2.4350921725979398e-11,-8.37715501781899e-12,-2.1012295707203422e-13,3.5034266917200355e-13
60070.04215277778,-183.68713941425085,53.979774237486225,-0.12637862773825842,2.775329793584032e-11,-8.155806452752269e-12,1.9094552397773505e-14,3.552726180695751e-13
60070.0425,-207.5230250172317,51.92238671990732,-1.8125302244008068,3.1353092672567833e-11,-7.844562802007076e-12,2.738415561008226e-13,3.6049882329117547e-13
60070.04284722222,-231.96788324415684,49.28839405141771,-3.6686217810117423,3.50443213041874e-11,-7.44619597139334e-12,5.54233450938533e-13,3.6600786125711165e-13
60070.04319444444,-255.97280889749527,46.09664798012624,-5.687055277943611,3.8668460459854315e-11,-6.963577176141136e-12,8.59113407769149e-13,3.717848599221757e-13
60070.043541666666,-278.3859353289008,42.373540448086956,-7.851332103744859,4.20514824226565e-11,-6.400719164325781e-12,1.185980008526637e-12,3.7781339998024155e-13
60070.04388888889,-298.08995218575,38.167402807064356,-10.136675568957498,4.502463276101708e-11,-5.764948741912125e-12,1.5310817810641493e-12,3.840754338882826e-13
60070.04423611111,-313.67543241381645,33.55935623378803,-12.508072106807958,4.7375101309665336e-11,-5.0685445437289135e-12,1.8891220733757573e-12,3.905511799963855e-13
60070.044583333336,-323.41714004054666,28.660882084382077,-14.918219920247793,4.8842467427166097e-11,-4.32836738171879e-12,2.2529500769027073e-12,3.972190721520834e-13
60070.04493055555,-326.87371549755335,23.59399776160717,-17.31787757853476,4.9360294728149154e-11,-3.5628642748331915e-12,2.6151247433318937e-12,4.0405571583865473e-13
60070.045277777775,-324.8778945207596,18.478092263266443,-19.665663967406704,4.9054573087662467e-11,-2.7900788041799293e-12,2.969394860889555e-12,4.110358155517727e-13
60070.045625,-317.5069825798273,13.43643048480153,-21.922037593258377,4.793721896591022e-11,-2.028632898201607e-12,3.3097902532670467e-12,4.1813207966186906e-13
60070.04597222222,-305.1101762615144,8.577610927261414,-24.05127171858361,4.6061199973235823e-11,-1.2949258430323837e-12,3.630919328271677e-12,4.2531518678200495e-13
60070.046319444446,-289.3902053013444,3.964050732490919,-26.031413013977346,4.368379404788429e-11,-5.983781504048495e-13,3.9294726084245895e-12,4.325536932831941e-13
60070.04666666667,-271.8165982365608,-0.3895490037898208,-27.852044015626113,4.102698680096678e-11,5.879707839955252e-14,4.203883977734737e-12,4.3981389299096616e-13
60070.04701388889,-252.72886296361685,-4.503943315707145,-29.505550037302516,3.81421304234948e-11,6.797403009424398e-13,4.45301151812549e-12,4.4705961774090715e-13
60070.04736111111,-231.19137946516275,-8.413586558712023,-30.977709376192006,3.488812855761311e-11,1.2696593193483762e-12,4.674717152677476e-12,4.542518634518527e-13
60070.04770833333,-205.45758245512843,-12.136131993557013,-32.24205628256111,3.1001571747278505e-11,1.831225512520911e-12,4.865015976433534e-12,4.613480647149503e-13
60070.048055555555,-174.30075531452894,-15.656150958128272,-33.26406131156807,2.6297593568563727e-11,2.3621188215850367e-12,5.018708973652311e-12,4.682999156770059e-13
60070.04840277778,-137.63375294208527,-18.9314224248752,-34.00955910892891,2.0763315232043696e-11,2.855978880152081e-12,5.1306542296979616e-12,4.750510566062511e-13
60070.04875,-96.39901446178555,-21.93107318089654,-34.45203751568676,1.4541167531028646e-11,3.308160472792856e-12,5.1968669192098485e-12,4.815887968764285e-13
60070.049097222225,-51.3222468867898,-24.64382253314058,-34.57084180703256,7.740826722358622e-12,3.716976001194915e-12,5.214247471756571e-12,4.879151542829463e-13
60070.04944444444,-2.9521147944033146,-27.031228811914723,-34.34973182792326,4.4521532793005217e-13,4.076642758833286e-12,5.1803632938228105e-12,4.940256588719599e-13
60070.049791666665,43.94639416411519,-29.077363602568706,-33.806008730756325,-6.626979011972233e-12,4.384775633652669e-12,5.097840553212152e-12,4.999141245004188e-13
60070.05013888889,83.07526071369648,-30.842725579378506,-32.99993101044976,-1.2526221056830136e-11,4.650515632251862e-12,4.975782527142726e-12,5.055739102830529e-13
60070.05048611111,112.38571762666106,-32.4055778755496,-32.00413889649694,-1.694400926507107e-11,4.885677854434389e-12,4.825154276135724e-12,5.109984813997485e-13
60070.050833333335,132.12110229209063,-33.81920158577462,-30.887640657118794,-1.991749545890661e-11,5.0983058899958765e-12,4.6563677705656845e-12,5.161818403712343e-13
60070.05118055556,142.21252093091607,-35.137020425250135,-29.71804497071315,-2.1436738210710942e-11,5.2964612639585425e-12,4.479619276848221e-12,5.211188372805243e-13
60070.05152777778,142.72029015421867,-36.440968955184026,-28.560740708129718,-2.1511258910522595e-11,5.492499470805683e-12,4.304766248618227e-12,5.258054150792189e-13
60070.051875,135.1879660487175,-37.8186231792594,-27.46908266308407,-2.0374094964467848e-11,5.699621368679995e-12,4.139848502216604e-12,5.302386803867053e-13
60070.05222222222,122.3286206908524,-39.324179381753005,-26.4770448925282,-1.8434419530029215e-11,5.925991941242974e-12,3.989981663389922e-12,5.344171143335528e-13
60070.05256944445,106.44737626239656,-40.96998931510995,-25.602542121772114,-1.603977787126389e-11,6.1734685351240755e-12,3.8578601276241206e-12,5.383407050430422e-13
60070.05291666667,88.37554752454162,-42.7639342478166,-24.857587287482485,-1.331552883258847e-11,6.443234756917258e-12,3.7452884820107305e-12,5.420110110907754e-13
60070.05326388889,68.17838655784726,-44.74181674513966,-24.253457587188134,-1.0271568847699192e-11,6.740679477343054e-12,3.6539594434400954e-12,5.454312162057378e-13
60070.053611111114,46.364889927208424,-46.95567392700662,-23.797855345159768,-6.98463823344484e-12,7.0736368813263795e-12,3.585027605559991e-12,5.486061174907195e-13
60070.05395833333,24.013159345835447,-49.44923539211353,-23.491374481755955,-3.617174295327185e-12,7.448686805759976e-12,3.538576274514632e-12,5.515421232638383e-13
60070.05430555555,2.4851460866630077,-52.23520451895892,-23.325918936734176,-3.743158887375417e-13,7.867733453511349e-12,3.513379806636489e-12,5.542472477335334e-13
60070.05465277778,-17.121613044291735,-55.28091483215491,-23.28665117792125,2.5786829811779092e-12,8.325848381975288e-12,3.507198236859585e-12,5.567310022961757e-13
60070.055,-34.47412273660302,-58.52379713493089,-23.35701263426516,5.1917540357416025e-12,8.813600922746495e-12,3.517533006809813e-12,5.590044251454292e-13
60070.055347222224,-49.59406979009509,-62.223378465138374,-23.5209942414891,7.468250326028465e-12,9.370067197059755e-12,3.5419693051203773e-12,5.610799375341815e-13
60070.05569444445,-62.87348027899861,-67.44355181567371,-23.765419620604064,9.467284353955337e-12,1.0155430875567134e-11,3.578519661086455e-12,5.629712622281642e-13
60070.05604166666,-75.0065760165453,-71.49339100898554,-24.08172305514691,1.1293448867679951e-11,1.0764482244315834e-11,3.6258915206173335e-12,5.646932974570704e-13
60070.05638888889,-86.02928748354316,-75.15425170678645,-24.461769462683083,1.295219398903212e-11,1.131489607411957e-11,3.682857229943483e-12,5.662620343945094e-13
60070.05673611111,-94.99402025341988,-78.6118051915119,-24.8918441626266,1.4300902212814182e-11,1.1834636915223483e-11,3.747349868093587e-12,5.676943941675918e-13
60070.05708333333,-101.07139668613672,-81.8727794288968,-25.353538420344844,1.5214787313945777e-11,1.2324722588731386e-11,3.816596063467777e-12,5.690081445078286e-13
