utc,x_TLE,y_TLE,z_TLE,gpst
2020-03-01 14:14:42,-18801.231636972272,-17894.363084594774,-5332.024709281685,2020-03-01 14:14:59.999
2020-03-01 14:29:42,-16781.562358535102,-18973.878397098266,-7963.933249283817,2020-03-01 14:29:59.999
2020-03-01 14:44:42,-14472.84074623217,-19726.640130743857,-10458.707025111813,2020-03-01 14:44:59.999
2020-03-01 14:59:42,-11916.37482109141,-20141.79273567512,-12774.490505565436,2020-03-01 14:59:59.999
2020-03-01 15:14:42,-9157.162180573574,-20214.332109237923,-14872.973699115737,2020-03-01 15:14:59.999
2020-03-01 15:29:42,-6243.055539084505,-19945.046622143724,-16719.940663494268,2020-03-01 15:29:59.999
2020-03-01 15:44:42,-3223.9227711378567,-19340.36840383097,-18285.72619526997,2020-03-01 15:44:59.999
2020-03-01 15:59:42,-150.81563312996605,-18412.14600176353,-19545.582178968045,2020-03-01 15:59:59.999
2020-03-01 16:14:42,2924.841561801326,-17177.34930816524,-20479.956965413912,2020-03-01 16:14:59.999
2020-03-01 16:29:42,5952.034762505962,-15657.716919557433,-21074.692366561976,2020-03-01 16:29:59.999
2020-03-01 16:44:42,8880.90833328695,-13879.355017112177,-21321.143456276764,2020-03-01 16:44:59.999
2020-03-01 16:59:42,11663.474352831912,-11872.29557352269,-21216.22644463086,2020-03-01 16:59:59.999
2020-03-01 17:14:42,14254.2803595595,-9670.02034608128,-20762.399544389755,2020-03-01 17:14:59.999
2020-03-01 17:29:42,16611.033836419832,-7308.955814492303,-19967.581088562027,2020-03-01 17:29:59.999
2020-03-01 17:44:42,18695.18223265899,-4827.943065880775,-18845.008292607232,2020-03-01 17:44:59.999
2020-03-01 17:59:42,20472.447369286885,-2267.685692789963,-17413.0390912986,2020-03-01 17:59:59.999
2020-03-01 18:14:42,21913.312718379697,329.82188798336045,-15694.89851686823,2020-03-01 18:14:59.999
2020-03-01 18:29:42,22993.461346703974,2921.8836240185587,-13718.370214067718,2020-03-01 18:29:59.999
2020-03-01 18:44:42,23694.1613458848,5465.706437214763,-11515.432994448634,2020-03-01 18:44:59.999
2020-03-01 18:59:42,24002.594420013902,7919.017788961819,-9121.841895069983,2020-03-01 18:59:59.999
2020-03-01 19:14:42,23912.12206423962,10240.692988838666,-6576.653097259932,2020-03-01 19:14:59.999
2020-03-01 19:29:42,23422.48255351212,12391.387940479453,-3921.692341065632,2020-03-01 19:29:59.999
2020-03-01 19:44:42,22539.91089016168,14334.17160984953,-1200.9671914308365,2020-03-01 19:44:59.999
2020-03-01 19:59:42,21277.173063291266,16035.150839682658,1539.9752957467967,2020-03-01 19:59:59.999
2020-03-01 20:14:42,19653.50558966438,17464.078301653222,4254.742283383234,2020-03-01 20:14:59.999
2020-03-01 20:29:42,17694.45147163816,18594.932491010037,6896.8348774116075,2020-03-01 20:29:59.999
2020-03-01 20:44:42,15431.584549472267,19406.45686634008,9420.425962667818,2020-03-01 20:44:59.999
2020-03-01 20:59:42,12902.115846054572,19882.643686902284,11781.165404725209,2020-03-01 20:59:59.999
2020-03-01 21:14:42,10148.37796584471,20013.146984844207,13936.99887625462,2020-03-01 21:14:59.999
2020-03-01 21:29:42,7217.186925309628,19793.608618220354,15848.983613240782,2020-03-01 21:29:59.999
2020-03-01 21:44:42,4159.084897389965,19225.88165995287,17482.08172991105,2020-03-01 21:44:59.999
2020-03-01 21:59:42,1027.4721038696177,18318.13663235268,18805.90958132471,2020-03-01 21:59:59.999
2020-03-01 22:14:42,-2122.358742744463,17084.838386698146,19795.42032363846,2020-03-01 22:14:59.999
2020-03-01 22:29:42,-5234.266772135745,15546.584766499182,20431.49652700269,2020-03-01 22:29:59.999
2020-03-01 22:44:42,-8252.362381413928,13729.802505427713,20701.430633247073,2020-03-01 22:44:59.999
2020-03-01 22:59:42,-11122.13373805431,11666.30091325872,20599.273332000088,2020-03-01 22:59:59.999
2020-03-01 23:14:42,-13791.569092669059,9392.6895261641,20126.03354881853,2020-03-01 23:14:59.999
2020-03-01 23:29:42,-16212.241812331828,6949.671677167517,19289.718581030356,2020-03-01 23:29:59.999
2020-03-01 23:44:42,-18340.32491520014,4381.231474061885,18105.208729846665,2020-03-01 23:44:59.999
