utc,x_TLE,y_TLE,z_TLE,gpst
2020-03-01 05:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 05:59:59.997
2020-03-01 06:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 06:14:59.997
2020-03-01 06:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 06:29:59.997
2020-03-01 06:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 06:44:59.997
2020-03-01 06:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 06:59:59.997
2020-03-01 07:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 07:14:59.997
2020-03-01 07:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 07:29:59.997
2020-03-01 07:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 07:44:59.997
2020-03-01 07:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 07:59:59.997
2020-03-01 08:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 08:14:59.997
2020-03-01 08:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 08:29:59.997
2020-03-01 08:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 08:44:59.997
2020-03-01 08:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 08:59:59.997
2020-03-01 09:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 09:14:59.997
2020-03-01 09:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 09:29:59.997
2020-03-01 09:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 09:44:59.997
2020-03-01 09:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 09:59:59.997
2020-03-01 10:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 10:14:59.997
2020-03-01 10:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 10:29:59.997
2020-03-01 10:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 10:44:59.997
2020-03-01 10:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 10:59:59.997
2020-03-01 11:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 11:14:59.997
2020-03-01 11:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 11:29:59.997
2020-03-01 11:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 11:44:59.997
2020-03-01 11:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 11:59:59.997
2020-03-01 12:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 12:14:59.997
2020-03-01 12:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 12:29:59.997
2020-03-01 12:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 12:44:59.997
2020-03-01 12:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 12:59:59.997
2020-03-01 13:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 13:14:59.997
2020-03-01 13:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 13:29:59.997
2020-03-01 13:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 13:44:59.997
2020-03-01 13:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 13:59:59.997
2020-03-01 14:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 14:14:59.997
2020-03-01 14:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 14:29:59.997
2020-03-01 14:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 14:44:59.997
2020-03-01 14:59:42,-12392.847928055475,-20092.282222552276,-12372.627231626378,2020-03-01 14:59:59.997
2020-03-01 15:14:42,-9666.669782383135,-20226.600174394636,-14512.874822609027,2020-03-01 15:14:59.997
2020-03-01 15:29:42,-6776.8111278379865,-20018.529432169922,-16407.441231049557,2020-03-01 15:29:59.997
2020-03-01 15:44:42,-3772.8388771800264,-19473.50089553352,-18025.81250098107,2020-03-01 15:44:59.997
2020-03-01 15:59:42,-705.6522717392677,-18602.408111045635,-19342.332357927444,2020-03-01 15:59:59.997
2020-03-01 16:14:42,2373.3327418757826,-17421.32361378952,-20336.496930228564,2020-03-01 16:14:59.997
2020-03-01 16:29:42,5412.971980503046,-15951.155943696844,-20993.166199640757,2020-03-01 16:29:59.997
2020-03-01 16:44:42,8363.147777816603,-14217.256637021606,-21302.69730447288,2020-03-01 16:44:59.997
2020-03-01 16:59:42,11175.485512927708,-12248.985238521407,-21261.004982734055,2020-03-01 16:59:59.997
2020-03-01 17:14:42,13804.028983558417,-10079.239036268986,-20869.554162941695,2020-03-01 17:14:59.997
2020-03-01 17:29:42,16205.872774830605,-7743.952902715157,-20135.289099157333,2020-03-01 17:29:59.997
2020-03-01 17:44:42,18341.750365197244,-5281.573439183891,-19070.502609207026,2020-03-01 17:44:59.996
2020-03-01 17:59:42,20176.576838956724,-2732.5106387580518,-17692.648022565656,2020-03-01 17:59:59.996
2020-03-01 18:14:42,21679.944786971166,-138.5695712013012,-16024.095473657499,2020-03-01 18:14:59.996
2020-03-01 18:29:42,22826.571334142696,2457.635803100983,-14091.833282260128,2020-03-01 18:29:59.996
2020-03-01 18:44:42,23596.6933062991,5013.284633358701,-11927.114431395725,2020-03-01 18:44:59.996
2020-03-01 18:59:42,23976.406423943292,7485.96462224084,-9565.047664386624,2020-03-01 18:59:59.996
2020-03-01 19:14:42,23957.94318075841,9834.297862397216,-7044.13254931409,2020-03-01 19:14:59.996
2020-03-01 19:29:42,23539.8828376764,12018.572980667173,-4405.738065017224,2020-03-01 19:29:59.996
2020-03-01 19:44:42,22727.285857489183,14001.378149753478,-1693.5249006014146,2020-03-01 19:44:59.996
2020-03-01 19:59:42,21531.744249834013,15748.227905242822,1047.1872336010965,2020-03-01 19:59:59.996
2020-03-01 20:14:42,19971.338828587985,17228.174897221004,3770.1043958605073,2020-03-01 20:14:59.996
2020-03-01 20:29:42,18070.494440928524,18414.395819105215,6428.690359569054,2020-03-01 20:29:59.996
2020-03-01 20:44:42,15859.72493896564,19284.738927121412,8976.938296529275,2020-03-01 20:44:59.996
2020-03-01 20:59:42,13375.261139262939,19822.218955342185,11370.171979414143,2020-03-01 20:59:59.996
2020-03-01 21:14:42,10658.55732511613,20015.44402370382,13565.863304276048,2020-03-01 21:14:59.996
2020-03-01 21:29:42,7755.675010967536,19858.95851912138,15524.449956827542,2020-03-01 21:29:59.996
2020-03-01 21:44:42,4716.54665956301,19353.486083030926,17210.13430125691,2020-03-01 21:44:59.996
2020-03-01 21:59:42,1594.1266919688055,18506.05791449308,18591.642314144516,2020-03-01 21:59:59.996
2020-03-01 22:14:42,-1556.5577559431415,17330.01369793916,19642.919884061626,2020-03-01 22:14:59.996
2020-03-01 22:29:42,-4679.438595986591,15844.8656181239,20343.743298241305,2020-03-01 22:29:59.996
2020-03-01 22:44:42,-7718.498250015677,14076.02007144675,20680.221443121543,2020-03-01 22:44:59.996
2020-03-01 22:59:42,-10618.893509095453,12054.356661582724,20645.16928073628,2020-03-01 22:59:59.996
2020-03-01 23:14:42,-13328.081010817024,9815.669620997616,20238.335547504197,2020-03-01 23:14:59.996
2020-03-01 23:29:42,-15796.911454339603,7399.982578970828,19466.472259793536,2020-03-01 23:29:59.996
2020-03-01 23:44:42,-17980.659224983458,4850.753206057004,18343.239270817823,2020-03-01 23:44:59.996
2020-03-01 23:59:42,-19839.95545733572,2213.989275498957,16888.94347220194,2020-03-01 23:59:59.996
