utc,x_TLE,y_TLE,z_TLE
2020-03-01 02:09:59.989,-19596.874597592247,-17315.169740721165,-4118.399432696787
2020-03-01 02:14:59.989,-19007.050963597714,-17756.454820958486,-5021.672628228299
2020-03-01 02:19:59.989,-18380.553202906303,-18163.479325782744,-5915.255416389567
2020-03-01 02:24:59.989,-17718.663724742455,-18535.5306444153,-6797.447011866137
2020-03-01 02:29:59.989,-17022.728086601997,-18871.96679562457,-7666.575740985295
2020-03-01 02:34:59.989,-16294.151835116145,-19172.21709825082,-8521.002073898862
2020-03-01 02:39:59.989,-15534.397276432763,-19435.782685213497,-9359.121541330102
2020-03-01 02:44:59.989,-14744.980185984949,-19662.23686472612,-10179.367532624055
2020-03-01 02:49:59.989,-13927.466467203452,-19851.22533277473,-10980.213972423553
2020-03-01 02:54:59.989,-13083.468768367748,-20002.466241206148,-11760.177873868945
2020-03-01 02:59:59.989,-12214.643066413113,-20115.750126012405,-12517.82176675171
2020-03-01 03:04:59.989,-11322.685226101243,-20190.93970059524,-13251.755999564728
2020-03-01 03:09:59.989,-10409.327542538673,-20227.969518949092,-13960.640914866091
2020-03-01 03:14:59.989,-9476.335274587833,-20226.845513812572,-14643.18889781559
2020-03-01 03:19:59.989,-8525.503176266568,-20187.64441491351,-15298.166298151924
2020-03-01 03:24:59.989,-7558.652032777326,-20110.51305246738,-15924.395226249431
2020-03-01 03:29:59.989,-6577.625207353714,-19995.667551091865,-16520.75522422825
2020-03-01 03:34:59.989,-5584.285204657999,-19843.392419269876,-17086.184813393447
2020-03-01 03:39:59.989,-4580.510256015252,-19654.039539433452,-17619.682919541658
2020-03-01 03:44:59.989,-3568.1909313330557,-19428.027063654317,-18120.3101779029
2020-03-01 03:49:59.989,-2549.226782130807,-19165.838219817775,-18587.190119679406
2020-03-01 03:54:59.989,-1525.5230196855816,-18868.020033022185,-19019.510242306267
2020-03-01 03:59:59.989,-498.98723191386966,-18535.18196679901,-19416.52296568512
